[0004.62-0008.62] 同學們好,歡迎大家來到我的集算機組成員里威克堂
[0008.62-0013.22] 在上集課中,我們給同學們介紹了數據相關的基本概念
[0013.22-0017.22] 及其是否會在指令流水線中產生相應的衝突
[0017.22-0020.92] 其中,WAR相關和WAW相關
[0020.92-0026.92] 在亂緒調度的流水線中,可能會產生WAR衝突和WAW衝突
[0026.92-0031.02] 但在密布斯的標準五段流水線中,不會產生衝突
[0031.02-0037.32] 而RAW相關,在密布斯的標準五段流水線中,會產生RAW衝突
[0037.32-0042.22] 並且,正常程序中往往都會存在大量的RAW相關
[0042.22-0048.12] 需要說明的是,亂緒調度流水線的相關知識超出了本課程的教學大綱
[0048.12-0053.22] 總上所說,對於本課程,我們將重點放在RAW相關的概念
[0053.22-0057.32] 以及這種數據相關,在密布斯的標準五段流水線中
[0057.32-0059.82] 產生數據衝突的解決方案
[0060.06-0063.86] 如同所示,這是上節課我們給同學們舉例說明的
[0063.86-0067.26] 什麼是RAW相關,以及這種數據相關
[0067.26-0071.56] 在密布斯的標準五段流水線中,會產生數據衝突的原因
[0071.56-0074.06] 在同學們理解了上述概念後
[0074.06-0078.36] 接下來,我們給出解決RAW衝突的兩類方法
[0078.36-0083.66] 一類是軟件方法,也就是在存在RAW衝突的指令間
[0083.66-0087.86] 插入一定數量的空操作指令,以消除這種衝突
[0087.86-0091.26] 很顯然,這需要由編譯器來完成
[0091.26-0095.86] 這種方法並不是本課程的重點,同學們了解即可
[0095.86-0099.66] 另一類是硬件方法,也就是插入氣泡
[0099.66-0102.26] 這相當於插入空操作
[0102.26-0106.76] 我們在上上此刻就給同學們介紹過插入氣泡的方案
[0106.76-0112.56] 只不過當時該方案用來解決的是由分支指令引起的控制衝突
[0112.76-0115.86] 本節課,我們仍採用插入氣泡的方案
[0115.86-0120.16] 來解決由RAW相關引起的數據衝突
[0120.16-0121.66] 來看這個例子
[0121.66-0124.06] 請同學們暫停播放視頻
[0124.06-0127.86] 利用我們上節課所學的數據相關的基本概念
[0127.86-0130.66] 以及相關408歷年整體的練習
[0130.66-0135.86] 找出本例中與指令1存在RAW相關的所有指令
[0135.86-0145.82] 好的,在本例中,與指令1存在RAW相關的指令有
[0145.92-0148.42] 指令2、3、4以及5
[0148.42-0152.62] 這是因為,計算器R3是指令1的目的操作數
[0152.62-0155.92] 也是指令2、3、4、5的原操作數
[0155.92-0158.62] 在MIPS的標準五段流水線中
[0158.62-0163.32] 指令2、3、4都會與指令1產生RAW衝突
[0163.32-0167.52] 而儘管指令5與指令1存在RAW相關
[0167.52-0170.92] 但不會與指令1產生RAW衝突
[0170.92-0173.32] 在進行具體分析之前
[0173.42-0177.62] 我們首先來複習一下MIPS處理器中的計存器
[0177.62-0183.12] 在R型指令,也就是所有操作數都來源於計存器
[0183.12-0186.32] 運算結果也存回計存器的指令中
[0186.32-0190.32] RT計存器是目的計存器,用於存放結果
[0190.32-0194.62] RS計存器和RT計存器都是原計存器
[0194.62-0198.58] 分別用來存放第一個操作數和第二個操作數
[0198.58-0202.28] 上述三類計存器都位於計存器組中
[0202.28-0206.68] 有具體R型指令中的RS、RT、RT字段的值
[0206.68-0209.68] 也就是計存器編號進行指定
[0209.68-0214.64] 不但看出,在本理中,所有指令都屬於R型指令
[0214.64-0218.34] 好的,我們來分析本理中的RAW衝突
[0218.34-0222.64] 如讀所示,指令1中的RS字段和RT字段的值
[0222.64-0225.64] 在一碼共同段被送入計存器組
[0225.64-0230.74] 竟然可以從計存器組中讀出RS計存器和RT計存器的內容
[0230.84-0235.64] 以便通過這個流水計存器傳遞到執行共同段中進行運算
[0235.64-0241.54] 運算結果會通過這兩個流水計存器逐漸傳遞到寫回共同段
[0241.54-0246.04] 而指令1中的RT字段的值,也就是RT計存器的編號
[0246.04-0250.94] 會通過這三個流水計存器逐漸傳遞到寫回共同段
[0250.94-0256.24] 請同學們注意,上述通過各級流水計存器逐漸傳遞運算結果
[0256.24-0258.34] 和RT計存器編號的操作
[0258.34-0262.04] 是在時鐘節拍的控制下逐個功能段進行的
[0262.04-0265.04] 當指令1進入寫回共同段處理時
[0265.04-0270.54] 運算結果和RT計存器的編號也同時傳遞到了寫回共同段
[0270.54-0273.84] 這樣,該R型指令就在寫回共同段
[0273.84-0280.94] 將運算結果寫回到位於一碼共同段的計存器組中的指令編號的RT計存器
[0280.94-0284.24] 然而,當指令1進入寫回共同段時
[0284.24-0288.74] 其後面與其存在RAW相關的指令2到指令5
[0288.74-0294.54] 分別進入到了仿存共同段、執行共同段、一碼共同段以及取取共同段
[0294.54-0298.74] 此時,指令2和指令3都已經過一碼共同段
[0298.74-0302.44] 並在一碼共同段中讀取了計存器R3的內容
