[0003.73-0007.83] 同學們好,歡迎大家來到我的計算機總生眼裡威克堂
[0007.83-0013.33] 在上期課中,我們給同學們介紹了集中式總線縱材及其三種方式
[0013.33-0017.33] 本節課,我們給同學們介紹分布式總線縱材
[0017.33-0024.03] 這裡的分布式是指,將總線縱材的邏輯分散在總線上連接的各個主設備中
[0024.03-0026.43] 而不需要一個總的縱材器
[0026.43-0033.43] 分布式總線縱材主要包括自舉分散方式、病情競爭方式、衝突檢測分散方式
[0033.53-0035.83] 我們首先來看自舉分散方式
[0035.83-0040.53] 如讀所示,假設有四個主設備連接在系統總線上
[0040.53-0043.53] 每個主設備都有自己獨立的重材器
[0043.53-0047.13] 所有主設備共享一條總線盲線二線BS
[0047.13-0051.73] 但每個主設備都有自己專用的總線請求信號線BR
[0051.73-0056.73] 每個主設備只監測比自己優先級高的總線請求信號
[0056.73-0062.83] 在本例中,我們假設主設備一的優先級最低,而主設備四的優先級最高
[0062.93-0066.63] 因此,主設備一的重材器需要分別連接到
[0066.63-0072.63] 主設備二、三、四各自的總線請求信號線BR2、BR3、BR4
[0072.63-0075.79] 主設備二的重材器需要分別連接到
[0075.79-0081.09] 主設備三、可四各自的總線請求信號線BR3和BR4
[0081.09-0087.25] 主設備三的重材器只需連接到主設備四的總線請求信號線BR4
[0087.25-0089.88] 由於主設備四的優先級最高
[0089.98-0094.38] 因此,它不需要監測其他主設備的總線請求信號
[0094.38-0098.58] 總上所述,每個主設備各自專用的總線請求信號線
[0098.58-0101.18] 共同構成了總線重材線
[0101.18-0106.34] 接下來,我們舉例說明上述自己分散模式重材的過程
[0106.34-0112.44] 假設總線空前時,主設備二和主設備三同時申請總線控制權
[0112.44-0114.74] 我們用零表示總線空前
[0114.74-0118.74] 主設備二和主設備三在檢測到總線空前時
[0118.84-0121.64] 通過各自專用的總線請求信號線
[0121.64-0123.64] 發送總線請求信號
[0123.64-0127.44] 也就是將各自專用的總線請求信號線之一
[0127.44-0131.04] 這樣,主設備一的重材器就可檢測到
[0131.04-0136.34] 有比自己優先級高的主設備二和主設備三在申請總線控制權
[0136.34-0138.34] 但主設備一並不關心
[0138.34-0142.04] 因為主設備一此時並未申請總線控制權
[0142.04-0144.84] 正在申請總線控制權的主設備二
[0144.94-0149.64] 檢測到有比自己優先級高的主設備三在申請總線控制權
[0149.64-0153.34] 因此,主設備二此時不能獲得總線控制權
[0153.34-0156.47] 正在申請總線控制權的主設備三
[0156.47-0161.17] 未檢測到有比自己優先級高的主設備在申請總線控制權
[0161.17-0164.17] 因此,主設備三獲得總線控制權
[0164.17-0168.07] 於是,主設備三將總線盲線上線之一
[0168.07-0172.27] 表示總線被佔用,以防止其他設備使用總線
[0172.60-0174.90] 主設備三獲得總線控制權後
