[0003.98-0007.88] 同學們好,歡迎大家來到我的計算機組成原理維克堂
[0007.88-0012.98] 在前幾次課中,我們給同學們介紹了指令流水線的相關基本概念
[0012.98-0018.78] 指令流水線所涉及的結構衝突、控制衝突、數據衝突的解決方案
[0018.78-0024.38] 本集課,我們給同學們簡單介紹一下超流水線技術和多發射技術
[0024.38-0027.68] 以便進一步提升指令執行的並行性
[0027.68-0029.78] 首先來看超流水線技術
[0029.78-0032.98] 該技術通過增加指令流水線的極速
[0032.98-0037.98] 也就是功能段數量,並盡量縮短每一級的處理延遲
[0037.98-0042.18] 從而允許提高時鐘頻率,來提升流水線的性能
[0042.18-0046.68] 例如,奔騰寺的流水線極速最高可達31級
[0046.68-0049.58] 將主頻推向了前所未有的高度
[0049.58-0054.18] 如同所示,這是我們在有關指令流水線的第一次課中
[0054.18-0059.08] 就給同學們介紹過的密布斯的標準五段指令流水線的時空圖
[0059.28-0060.88] 而下圖給出的是
[0060.88-0064.58] 將密布斯的標準五段指令流水線中的旗幟功能段
[0064.58-0066.78] 執行功能段、仿存功能段
[0066.78-0069.18] 各自西分為兩個功能段號
[0069.18-0071.98] 得到的八段指令流水線的時空圖
[0071.98-0075.36] 我們給出它們的關鍵指邊對比
[0075.36-0078.56] 由於增加了指令流水線中功能段的數量
[0078.56-0083.16] 因此,相較於五段指令流水線、八段指令流水線
[0083.16-0087.76] 也就是超流水線中,各功能段的處理延遲有所減少
[0087.86-0089.86] 我們假設減少了一半
[0089.86-0092.36] 也就是表格中的這一行數據
[0092.36-0096.86] 本地中,超流水線的時鐘週期是標準流水線的一半
[0096.86-0099.06] 因此,時鐘頻率三倍
[0099.06-0102.36] 請同學們注意,從圖中可以看出
[0102.36-0106.46] 標準流水線和超流水線的理想CPI都為一
[0106.46-0108.36] 也就是流水線滿載後
[0108.36-0112.76] 在它們各自的每個時鐘週期完成一條指令的執行
[0112.76-0114.56] 有的同學可能會認為
[0114.66-0118.48] 它們的CPI都為一,性能沒有提升啊
[0118.48-0120.28] 請不要糊塗了
[0120.28-0122.28] 儘管它們的CPI都為一
[0122.28-0125.48] 但是,本地中,超流水線的時鐘週期
[0125.48-0128.06] 可是標準流水線的一半
[0128.06-0130.36] 請同學們暫停播放視頻
[0130.36-0134.06] 自行分析該表格中,其他三個指標的對比
[0134.06-0137.96] 以感受超流水線技術帶來的性能提升
[0137.96-0141.16] 需要說明的是,這裡對比13條指令
[0141.16-0143.36] 是因為超流水線的時空圖中
[0143.36-0145.46] 我們畫出了13條指令
[0145.46-0154.12] 而同樣時長,標準流水線中,只有6條指令流出
[0154.12-0158.62] 通過上述分析,我們可總結出超流水線的優缺點
[0158.62-0161.12] 其優點主要有,主頻高
[0161.12-0165.32] 這是因為流水級,也就是功能段劃分的更細
[0165.32-0167.72] 使得時鐘週期顯著縮短
[0167.72-0170.02] 助力器主頻大肆提高
[0170.02-0171.22] 寸土率大
[0171.22-0173.52] 在理想CPI等於一的情況下
[0173.52-0175.82] 單位時間內完成的質量數量
[0175.82-0179.32] 也就是寸土率成倍增加
[0179.32-0182.22] 其缺點主要有,重圖再加高
[0182.22-0185.62] 一旦發生數據相關或分支預測失敗
[0185.62-0188.72] 深流水線清空,帶來的性能損失
[0188.72-0191.38] 比標準流水線更嚴重
[0191.38-0194.98] 硬架開銷大,需要更多的流水計存器
[0194.98-0198.28] 其在指令腳掃時,受建立時間拖累
[0198.28-0201.70] 實際加速比難以達到理想倍數
[0201.70-0204.50] 在同學們了解了超流水線技術號
[0204.50-0206.80] 我們再來看多發射技術
[0206.80-0211.10] 多發射技術借鑒了工業流水線的產能提升思路
[0211.10-0214.50] 通過複製處理器內部的關鍵功能部件
[0214.50-0216.60] 如增加指令一馬邏輯
[0216.60-0218.50] 計存器組的端口數量
[0218.50-0221.20] 運算器,數據旁路的數量等
[0221.20-0223.40] 使指令流水線的各個功能段
[0223.40-0225.90] 能夠同時處理多條指令
[0225.90-0229.10] 進而使處理器可以在當個時鐘週期內
[0229.10-0233.30] 將多條指令發射到指令流水線中並行執行
[0233.30-0234.90] 例如下土所示
[0235.00-0238.30] 五段指令流水線採用四發射技術
[0238.30-0242.00] 也就是處理器可以在當個時鐘週期內
[0242.00-0246.30] 將四條指令發射到指令流水線中並行執行
[0246.30-0248.40] 當指令流水線滿載後
[0248.40-0253.00] 同一時刻流水線中將會有二十條指令並行執行
[0253.00-0257.20] 每一個時鐘週期都有四條指令從流水線中流出
[0257.20-0259.00] 也就是執行完畢
[0259.00-0260.20] 從上所述
[0260.20-0262.90] 對於多發射流水線滿載後
[0263.00-0265.80] 每個時鐘週期執行多條指令
[0265.80-0268.26] 因此CPI小於一
[0268.26-0271.06] 由於多發射技術在當個週期內
[0271.06-0275.16] 將多條指令發射到指令流水線中並行執行
[0275.16-0278.76] 這必然會引起更多的相關性問題
[0278.76-0279.56] 相應的
[0279.56-0282.86] 尤其導致的衝突問題則更難處理
[0282.86-0285.06] 如果採用靜態多發射技術
[0285.06-0290.26] 也就是依靠編譯器在編譯時解決衝突並打包指令
[0290.26-0292.86] 例如將多條不相關的指令
[0292.86-0295.66] 打包成一個超長指令字
[0295.66-0296.96] 印架結構簡單
[0296.96-0299.06] 但不負責衝突處理
[0299.06-0302.79] 代碼跨平臺運行通常需要重新編譯
[0302.79-0304.79] 如果採用動態多發射
[0304.79-0306.79] 也成為超標量技術
[0306.79-0311.39] 也就是依靠印架在執行階段動態處理衝突
[0311.39-0315.59] 儘管也需要編譯器對程序進行高效調度
[0315.59-0317.59] 但即便編譯器不處理
[0317.59-0320.69] 程序仍能在指令流水線中正確運行
[0320.69-0323.84] 兼容性更強
[0323.84-0327.44] 好的 進一步提升指令執行並行性可採用的
[0327.44-0330.04] 超流水線技術和多發射技術
[0330.04-0332.04] 就簡單介紹到這裡
[0332.04-0332.84] 接下來
[0332.84-0335.64] 請同學們挑戰與本節課相關的
[0335.64-0337.94] 408考研理念整體
[0337.94-0341.04] 首先挑戰2017年的提17
[0341.04-0343.24] 請同學們暫停播放視頻
