[0003.44-0007.44] 同學們好,歡迎大家來到我的計算級組成原理威克堂
[0007.44-0013.16] 在上級課中,我們首先給同學們介紹了構成總線傳輸過程的四個階段
[0013.16-0017.40] 在此基礎上,我們給同學們介紹了什麼是總線事物
[0017.40-0020.92] 由於普通模式總線傳輸的傳輸效率較低
[0020.92-0025.16] 我們還給同學們介紹了突發傳輸模式這種總線事物
[0025.16-0029.16] 並且將這兩種總線傳輸進行了舉例對比
[0029.16-0035.32] 在此基礎上,本節課我們給同學們介紹總線仲裁的相關概念和方法
[0035.32-0042.28] 總線仲裁是計算機系統中協調多個主設備訪問共享總線資源的關鍵機制
[0042.28-0046.20] 也稱為總線控制或總線裁決判憂
[0046.20-0051.24] 在早期計算機系統中,通常只有CPU這一個總線主設備
[0051.24-0056.44] 由CPU完全掌控總線的使用,不存在共享總線的中用問題
[0056.60-0061.48] 然而,隨著計算機系統結構的發展,相繼出現了多種主設備
[0061.48-0065.32] 例如DMA控制器、圖形處理器、GPU等
[0065.32-0071.32] 由於每個主設備都能控制總線,因此存在共享總線的徵用問題
[0071.32-0076.12] 為了解決共享總線的徵用問題,需要引入總線控制器
[0076.12-0079.64] 尤其負責管理與分配總線的使用權
[0079.64-0084.20] 當總線上的多個主設備同時申請總線控制權時
[0084.28-0087.16] 由總線控制器依據一定的策略
[0087.16-0092.28] 選擇其中一個主設備獲得總線控制權的過程,就是總線仲裁
[0092.28-0097.53] 總線仲裁策略因考慮的問題包括和主設備的優先級
[0097.53-0100.49] 以確保高優先級任務即時響應
[0100.49-0106.41] 兼顧系統公平性,避免低優先級主設備長時間無法訪問總線
[0106.41-0108.65] 為提升系統整體效率
[0108.81-0111.85] 仲裁過程本身,應儘量快速完成
[0111.85-0116.73] 以減少總線控線等待時間,保證數據傳輸的高效性
[0116.73-0121.91] 總線仲裁分為集中式仲裁和分布式仲裁兩大類
[0121.91-0126.50] 集中式仲裁是將總線仲裁的邏輯集中在一起
[0126.50-0129.86] 例如設置一個單獨的總線控制器
[0129.86-0133.86] 又或者是將總線控制器集成到CPU中
[0134.26-0141.30] 分布式仲裁是將總線仲裁的邏輯分散在總線上連接的各個主設備中
[0141.30-0149.03] 集中式仲裁主要包括練識查詢方式,技術器定時查詢方式,以及獨立請求方式
[0149.03-0156.07] 分布式仲裁主要包括自舉分散方式,並行競爭方式,衝突檢測分散方式
[0156.07-0161.19] 本節課我們給同兄介紹集中式仲裁的這三種方式
[0161.38-0164.74] 首先來看練識查詢方式,如讀所示
[0164.74-0167.38] 所有主設備掛接在系統總線上
