[0003.38-0007.86] 同学们好,欢迎大家来到我的计算机组成员里,威克唐。
[0007.86-0016.74] 从本节课开始,我们要用几次课的时间,给同学们介绍动态随机存取存储器DRAM的相关知识。
[0016.74-0020.90] 本节课,我们介绍DRAM的存储员,极其获占。
[0020.90-0027.58] 这是我们之前曾给同学们介绍过的典型的6MOS管SRAM存储员。
[0027.58-0031.58] 它的特点如下,我们来一起复习一下。
[0031.93-0037.17] SRAM存储员的优点是,独操作不会破坏原有数据。
[0037.17-0041.67] 只要不断电,信息一直保存,不需要刷新。
[0041.67-0047.80] 因此,速度快,常用于微处理器的高速缓冲存储器开始。
[0047.80-0058.80] SRAM存储员的缺点是,电源VCC通过复载管T3T4持续为工作管T1或T2提供电流以保存信息。
[0058.80-0060.80] 因此,功耗大。
[0060.80-0066.80] 使用晶体管的数量多,占用晶圆面积大,成本高,价格昂贵,
[0066.80-0073.90] 因而不适合用于更高存储密度且低成本的应用,例如PC的内存。
[0073.90-0081.90] 为了克服SRAM存储员的缺点,在设计DRAM存储员时,就应设法尽量减少MOS管,
[0081.90-0087.56] 通过引入存储电容暂存电荷的方式来保存数据。
[0087.56-0094.56] 目前在内存中,较为常见的结构是单MOS管和电容构成的DRAM存储员。
[0094.56-0102.59] 接下来,我们就给同学们介绍一下,这种DRAM存储员存储一位二定制信息的基本原理。
[0102.59-0105.62] 如读所示,这是一个MOS管。
[0105.62-0115.78] 我们给它的漏极连接一个电容,电容的另一端连接到D,当给MOS管的山极输入高电平时。
[0115.78-0121.78] 这里用一来表示高电平,MOS管的远极和漏极之间导通。
[0121.78-0130.85] 之后,给MOS管的远极输入高电平,则电流通过MOS管给电容充电,直至充满。
[0130.85-0135.85] 这一过程实际上是非常快的,一般不到几纳秒。
[0135.85-0143.85] 因为所采用的电容容量非常小,大约为几十非法,一非法等于十的副十五次方法。
[0143.85-0155.26] 当取消给MOS管山极输入的高电平时,MOS管截止,远极的电流被阻挡,电容保持充满电的状态。
[0155.26-0173.36] 我们可以用电容充满电的状态来表示二定制比特一,若现在MOS管被打开,而远极此时没有高电平输入,来驱动电荷,保持在电容上,则电容会通过MOS管放电,直到电容上的电荷完全放霉。
[0173.36-0179.71] 我们可以用电容完全没电的状态来表示二定制比特零。
[0179.71-0186.71] 请同学们注意,上述电容的放电过程可看作是对存储源的独操作。
[0186.71-0200.90] 可以发现,独操作会导致原本存储的一,读取号变成零,也就是说,独操作是破坏性的,为了避免独操作导致的数据丢失。
[0200.90-0206.90] 数据一读出号,应将数据一重新写入,这成为数据恢复。
[0206.90-0221.22] 另外,还需要同学们注意的是,实际上MOS管不可能完美关断,因此电容上的电荷会逐渐泄漏,数据一只能保存矫短的时间。
[0221.22-0230.22] 为避免数据丢失,必须定期采用类似独操作的方式对电容补充电荷,这成为刷新。
[0230.22-0235.22] 这也是动态RAM,也就是DRAM中动态的含义。
[0235.22-0243.22] 在同学们了解了DRAM存储源的组成,以及工作原理号,我们举例说明DRAM存储源的扩展。
[0243.22-0250.22] 例如,将16个DRAM存储源排列成四行四列的二维阵列形式。
[0250.22-0256.51] 每一行的所有存储源的MOS管的三级,用一条行线连接起来。
[0256.51-0262.90] 每一列的所有存储源的MOS管的元级,用一条列线连接起来。
[0262.90-0269.90] 另外,每一列还需要御充电控制电路,以及零敏读出恢复放大器。
[0269.90-0280.06] 需要说明的是,我们给出的是一个非常简单的DRAM存储阵列的基本电路原理图,屏蔽掉了很多电路细节。
[0280.06-0291.06] 这样更有助于同学们理解DRAM的独操作和写操作的工作原理,而不会糾结于更多底层的电路细节。
[0291.06-0304.28] 假设,当前这些存储源中的电容是充满电的状态,表示二径至一,而其他存储源中的电容处于完全没电的状态,表示二径至零。
[0304.28-0315.92] 为了后续方面描述,以下我们将存储源中的电容简称为存储电容,要读取这个DRAM存储源所保存的信息。
[0315.92-0326.92] 首先会进行御充电工作,每一条列线都会被充电的DRAM供电电压VCC的一半的电压,之后停止御充电工作。
[0326.92-0331.92] 此时,列线上的寄生电容会保持住这个电压。
[0331.92-0335.92] 这里解释一下,什么是寄生电容。
[0335.92-0346.92] 寄生电容的意思是,本来没有在这里设计电容,而列线将一列中的所有貌似管连接在一起,因此具有缴大的寄生电容。
[0346.92-0355.62] 通常是存储源所用电容的十倍,可以想象成,每条列线上都皆有一个电容。
