[0003.18-0007.58] 同学们好,欢迎大家来到我的计算级组成员里,美克堂。
[0007.58-0012.58] 本节课,我们介绍先行进位加法器的硬件逻辑实现。
[0012.58-0018.28] 在上节课中,我们首先给同学们介绍了,使用N个一位全家器,
[0018.28-0023.38] 通过进位串联,构成N位串形进位加法器的相关知识。
[0023.38-0027.48] 接着,我们分析了串形进位加法器的性能。
[0027.48-0030.28] 在N位串形进位加法器中,
[0030.48-0037.68] 每个高位的一位全家器的运算,依赖于其相宁低位的一位全家器的进位输出。
[0037.68-0044.58] 因此,所有一位全家器不能并且运行,其时间关键延迟,
[0044.58-0052.18] 也就是输出所有本位和所需的时间为2N加4,然后乘以T。
[0052.18-0057.38] 很显然,这与串形进位加法器的位数N是线性关系,
[0057.58-0064.41] 当N缴大时,性能缴差,如果能够打破串形进位加法器中的进位依赖,
[0064.41-0072.01] 提前得到所有一位全家器所需的进位输入信号,也就是所谓的先行进位。
[0072.01-0078.71] 这样,所有一位全家器都可以并行运算,从而可以提高运算性能。
[0078.71-0082.94] 这就是本节课我们所要介绍的主要内容。
[0083.57-0089.57] 为了简单起见,我们去掉N缴串形进位加法器的溢出检测部分。
[0089.57-0097.99] 这是N缴串形加法器逻辑电路中,本位和SI于本位向其相宁高位的进位输出,
[0097.99-0100.79] 4I加1各自的逻辑表达式。
[0100.79-0106.32] 根据这两个逻辑表达式,我们可以写出N缴串形加法器中,
[0106.32-0115.02] 每个一位全家器的运算结果,即产生的一位合数SI,以及进位输出CI加1。
[0115.02-0123.88] 例如,这是最低位,也就是未0的一位全家器FA0,产生的一位合数S0。
[0123.88-0133.54] 这是其产生的进位输出C1,这是位1的一位全家器FA1,产生的一位合数S1。
[0133.54-0143.66] 这是其产生的进位输出C2,不难看出,要计算位1的合数SE,以及位1产生的进位输出C2,
[0143.66-0147.73] 需要等待来自位0的进位输出C1。
[0147.73-0152.43] 我们上节课曾分析过,这需要经过5T时长。
[0152.43-0160.65] 接下来,我们就从这两个逻辑表达式入手,想办法找出打破进位依赖的逻辑表达式,
[0160.65-0168.75] 令GI等于SI与外埃相予,PI等于SI与外埃相异货。
[0168.75-0175.05] 这样,我们就将原来两个逻辑表达式转换成了另外两个逻辑表达式,
[0175.05-0182.05] 当SI和外埃都等于1时,根据GI和PI各自的逻辑表达式,
[0182.05-0189.25] 可以计算出GI等于1,PI等于0,将GI和PI带入该逻辑表达式,
[0189.35-0195.58] 可以计算出CI加1等于1,不但看出,当GI等于1时,
[0195.58-0202.58] 进位出出CI加1就等于1,因此,我们将GI称为进位生成函数,
[0202.58-0209.54] 当SI与外埃不相等时,根据GI和PI各自的逻辑表达式,
[0209.54-0217.04] 可以计算出GI等于0,PI等于1,将GI和PI带入该逻辑表达式,
[0217.34-0223.56] 可以计算出CI加1等于CI,不难看出,当PI等于1时,
[0223.56-0231.56] 进位出出CI加1就等于进位输入CI,因此,我们将PI称为进位传递函数,
[0231.56-0239.72] 接下来我们一起来分析一下,进位输入CI与进位输出CI加1之间的逻辑关系,
[0239.72-0245.98] 这是未临的进位输出C1与进位输入C0之间的逻辑关系,
[0246.76-0252.36] 这是未一的进位输出C2与进位输入C1之间的逻辑关系,
[0252.36-0258.08] 将本市中的C1用上市替换,可得该表达式,
[0258.08-0262.47] 根据逻辑代数的分配率,可得该表达式,
[0262.47-0265.78] 相信很多同学已经看出来了,
[0265.78-0271.38] 未一的进位输出C2已经不再依赖于未临的进位输出C1,
[0271.38-0275.26] 而与未临的进位输入C0有关,
[0275.46-0280.72] 没有看出来的同学也不要灰心,我们往下看未二的情况,
[0280.72-0286.32] 这是未二的进位输出C3与进位输入C2之间的逻辑关系,
[0286.32-0291.78] 将本市中的C2用上市替换,可得该表达式,
[0291.78-0296.06] 根据逻辑代数的分配率,可得该表达式,
[0296.06-0302.86] 可以看到未二的进位输出C3已经不再依赖于未一的进位输出C2,
[0302.96-0306.58] 而与未临的进位输入C0有关,
[0306.58-0312.58] 这是未三的进位输出C4与进位输入C3之间的逻辑关系,
[0312.58-0317.95] 将本市中C3用上市替换,可得该表达式,
[0317.95-0322.14] 根据逻辑代数的分配率,可得该表达式,
[0322.14-0328.94] 可以看到未三的进位输出C4已经不再依赖于未二的进位输出C3,
[0328.94-0332.24] 而与未临的进位输入C0有关,
[0332.24-0338.34] 以此类推,可写出未N-1的进位输出CN的逻辑表达式,
[0338.34-0341.94] 通过上述分析,可以得出以下结论,
[0341.94-0346.84] 向高位的进位输出CN,由进位声称函数Gi,
[0346.84-0351.34] 进位传递函数Pi,以及未临的进位输入C0,
[0351.34-0357.30] 经过逻辑运算得到,而不再依赖于低位的进位CN-1,
[0357.30-0361.30] 例如,C4的产生不再依赖于C3,
[0361.30-0364.10] C3的产生不再依赖于C2,
[0364.10-0367.10] C2的产生不再依赖于C1,
[0367.10-0371.32] C4的C3、C2、C1可以同时产生,
[0371.32-0376.62] 我们根据他们各自的逻辑表达式,来划出相应的组合逻辑电路,
[0376.62-0381.61] 也就是先行进位电路,如同所示,
[0381.61-0387.26] C1的逻辑表达式对应这部分逻辑电路,
[0387.26-0392.73] C2的逻辑表达式对应这部分逻辑电路,
[0392.73-0398.39] C3的逻辑表达式对应这部分逻辑电路,
[0398.39-0404.37] C4的逻辑表达式对应这部分逻辑电路,
[0404.37-0406.87] 可能有的同学会有这种想法,
[0406.87-0413.10] 按上述表达式,我们不就可以构建出更多位的先行进位电路了吗?
[0413.10-0416.50] 从右侧这个四位先行进位电路不难看出,
[0416.50-0420.90] 先行进位电路的位数也多,逻辑门的善如细数,
[0421.00-0425.59] 可简单认为是输入引脚的数量就越大,
[0425.59-0431.98] 例如途中C4的产生,最大需要五个输入引脚的羽门和祸门,
[0431.98-0436.48] 然而逻辑门的善如细数越大,制造难度就越大,
[0436.48-0442.41] 一般情况下,逻辑门的善如细数为1-5,最多不超过8,
[0442.41-0447.00] 因此,先行进位电路通常采用四位一组。
[0447.00-0450.00] 接下来,请同学们思考一下,
[0450.00-0453.50] 假设各逻辑门的传播延迟为一剔,
[0453.50-0457.00] 不考虑信号在线路上的传播实验,
[0457.00-0465.97] 则右侧这个四位先行进位电路的总时间延迟是多少呢?
[0465.97-0468.27] 相信同学们都能看出来,
[0468.27-0471.66] 通过这些羽门需要一剔视察,
[0471.66-0474.86] 通过这些货门需要一剔视察,
[0474.86-0479.35] 因此,待电路的总时间延迟为两剔。
[0479.35-0484.65] 有了四位先行进位电路,就可以构建四位快速加发器了。
[0484.65-0489.85] 为了简单起见,我们屏蔽四位先行进位电路的组成细节,
[0489.85-0493.68] 而用符号来替代四位先行进位电路。
[0493.68-0498.18] 那么接下来呢,我们就要急于四位先行进位电路,
[0498.18-0500.98] 来构建四位快速加发器。
[0500.98-0504.98] 根据进位声称函数Gi的逻辑表达式可知,
[0504.98-0507.48] 每个数位的进位声称函数,
[0507.48-0513.98] 都是由参与加发运算的两个操作数X和Y的相应数位的语运算得出。
[0513.98-0520.08] 因此,我们给四位先行进位电路的Gi0到G3这四个输入端,
[0520.08-0522.08] 各连接一个羽门。
[0522.08-0526.04] 根据进位传递函数PI的逻辑表达式可知,
[0526.04-0528.44] 每个数位的进位传递函数,
[0528.44-0535.34] 都是由参与加发运算的两个操作数X和Y的相应数位的语运算得出的。
[0535.34-0541.34] 因此,我们给四位先行进位电路的P0到P3这四个输入端,
[0541.34-0543.34] 各连接一个羽门。
[0543.34-0551.34] 之后,将两个操作数X和Y的各输位连接到相应的羽门和语运门的输入端。
[0551.34-0556.45] 这是我们之前得出的本位和Si的逻辑表达式。
[0556.55-0562.15] 它由进位输入Si和进位传递函数PI的异货运算得出。
[0562.15-0568.15] 因此,我们在该电路的基础上,再增加求本位和的电路即可。
[0568.15-0575.42] 至此,我们就要基于四位先行进位电路,构建出了四位快速加发器。
[0575.42-0580.88] 接下来,我们来一起分析一下四位快速加发器的性能,
[0580.88-0586.98] 假设参与加发运算的两个操作数X和Y以及进位输入C0,
[0587.08-0591.08] 同时到达四位快速加发器的相应的输入端。
[0591.08-0594.54] 则,各个数位的进位产生信号Gi,
[0594.54-0597.94] 经过一替延迟后就可以产生,
[0597.94-0604.14] 因为仅通过了羽门这种基本逻辑门,其时间延迟为一替。
[0604.14-0607.17] 而各个数位的进位传递信号PI,
[0607.17-0609.77] 经过三替延迟后产生,
[0609.77-0615.97] 因为仅通过了异货门这种符合逻辑门,其时间延迟为三替。
[0616.37-0621.97] 我们将各个数位的进位传递信号PI的产生时刻标记在他们旁边。
[0621.97-0624.10] 我们之前分析过,
[0624.10-0628.70] 当给四位先行进位电路的各输入端输入相应的信号,
[0628.70-0633.40] 也就是输入各个数位的进位产生信号Gi,
[0633.40-0635.40] 进位传递信号PI,
[0635.40-0638.10] 以及最低位的进位输入C0,
[0638.10-0640.30] 经过两替延迟后,
[0640.30-0645.96] 四位先行进位电路即可同时产生出各个数位的进位信号。
[0646.16-0647.16] 因此,
[0647.16-0653.06] 从给四位快速加法器输入参与加法运算的两个操作数X和Y,
[0653.06-0655.86] 以及进位输入C0时刻起,
[0655.86-0657.66] 经过5T延迟,
[0657.66-0662.78] 各进位输出信号C1到C4就会同时产生。
[0662.78-0667.78] 有了各数位的进位信号Ci和进位传递信号PI,
[0667.78-0673.02] 再经过异货门的运算就可以得出各数位的合数Si。
[0673.02-0675.92] 由于异货门的时间延迟为三替,
[0676.02-0680.82] 因此可以得出各数位的合数Si的产生时刻。
[0681.07-0683.77] S0的产生时刻为6T,
[0683.77-0688.07] 而其他各数位的合数的产生时刻都为8T。
[0688.07-0689.56] 接下来,
[0689.56-0692.56] 我们来对比一下四位快速加法器,
[0692.56-0695.62] 与四位串型进位加法器的性能。
[0695.62-0700.22] 这是我们上节课介绍的N位串型进位加法器,
[0700.22-0702.28] 当N等于40,
[0702.28-0704.88] 即为四位串型进位加法器,
[0705.28-0707.28] 其时间关键延迟,
[0707.28-0713.84] 也就是各数位的合数全部产生所需要的时长为12T。
[0713.84-0718.54] 这是本节课我们刚刚介绍过的四位快速加法器,
[0718.54-0721.50] 其时间关键延迟为8T,
[0721.50-0726.79] 其性能比四位串型进位加法器提升了1.5倍。
[0726.79-0727.59] 然而,
[0727.59-0729.49] 有的同学可能会认为,
[0729.49-0731.92] 性能提升并不是很大,
[0731.92-0732.92] 这是因为,
[0732.92-0735.62] 我们比较的是四位加法器,
[0735.62-0737.85] 其位宽比较小,
[0737.85-0739.95] 对于串型进位加法器,
[0739.95-0741.75] 其时间关键延迟,
[0741.75-0745.05] 与加法器的位宽N成线性关系,
[0745.05-0746.55] 当N角大时,
[0746.55-0749.48] 时间关键延迟就比较大,
[0749.48-0751.58] 为了进行后续对比。
[0751.58-0752.38] 接下来,
[0752.38-0754.68] 我们使用四位快速加法器,
[0754.68-0758.24] 来构建更大位宽的加法器电路。
[0758.24-0759.74] 为了简单起见,
[0759.74-0761.04] 我们使用符号,
[0761.04-0765.59] 来屏蔽四位快速加法器电路的组成细节。
[0765.59-0766.89] 这八个输入端,
[0766.89-0767.89] 用来输入,
[0767.89-0771.22] 参与加法运算的两个四位加数。
[0771.22-0772.32] 这个输入端,
[0772.32-0775.05] 用来输入来自低位的进位。
[0775.05-0776.65] 这四个输出端,
[0776.65-0779.14] 用来输出四位合数。
[0779.14-0780.24] 这个输出端,
[0780.24-0782.97] 用来输出向高位的进位。
[0782.97-0783.87] 接下来,
[0783.87-0786.47] 我们用四个四位快速加法器,
[0786.47-0789.47] 来构建出一个16位加法器,
[0789.47-0793.85] 如读所示,
[0793.85-0794.95] 可以看到,
[0794.95-0796.75] 四个四位快速加法器,
[0796.75-0800.38] 是通过进位串联方式连接的。
[0800.38-0803.60] 这是两个16位加数的输入端,
[0803.60-0810.82] 进位信号的传递如读所示,
[0810.82-0812.62] 这是运算结果,
[0812.62-0816.01] 也就是16位合数的输出端。
[0816.01-0816.91] 接下来,
[0816.91-0819.41] 我们参照之前刚刚介绍过的,
[0819.41-0822.11] 四位快速加法器的性能分析,
[0822.11-0823.21] 来分析一下,
[0823.21-0826.51] 这个使用四个四位快速加法器,
[0826.51-0828.41] 通过进位串联方式,
[0828.41-0831.66] 构建的16位加法器的性能。
[0831.66-0833.46] 假设T0时刻,
[0833.46-0837.46] 参与加法运算的两个16位操作数X和1,
[0837.46-0839.46] 以及进位输入C0,
[0839.46-0844.22] 同时到达16位快速加法器的相应的输入端。
[0844.22-0846.12] 则5T延迟后,
[0846.12-0848.62] 又起第一个四位快速加法器,
[0848.62-0850.66] 产生进位信号。
[0850.66-0852.86] 再经过1T延迟,
[0852.86-0854.36] 在6T时刻,
[0854.36-0858.54] 该加法器的最低位产生合数的S0位,
[0858.54-0861.24] 又起第二个四位快速加法器,
[0861.24-0862.54] 在5T时刻,
[0862.54-0864.34] 收到进位信号,
[0864.34-0866.34] 经过两T延迟后,
[0866.34-0867.54] 在7T时刻,
[0867.54-0869.58] 产生进位信号,
[0869.58-0871.68] 在经过1T延迟,
[0871.68-0873.28] 在8T时刻,
[0873.28-0877.64] 该加法器的最低位产生合数的S4位,
[0877.64-0878.84] 与此同时,
[0878.84-0881.24] 又起第一个四位快速加法器,
[0881.24-0884.14] 产生合数的S1到S3,
[0884.14-0885.96] 这三位,
[0885.96-0888.56] 又起第三个四位快速加法器,
[0888.56-0889.86] 在7T时刻,
[0889.86-0891.76] 收到进位信号,
[0891.76-0893.86] 经过两T延迟后,
[0893.86-0895.16] 在9T时刻,
[0895.16-0897.22] 产生进位信号,
[0897.22-0899.22] 在经过1T延迟,
[0899.22-0900.82] 在10T时刻,
[0900.82-0904.92] 该加法器的最低位产生合数的S8位,
[0904.92-0906.02] 与此同时,
[0906.02-0908.52] 又起第二个四位快速加法器,
[0908.52-0913.00] 产生合数的S5到S7这三位,
[0913.00-0915.60] 又起第四个四位快速加法器,
[0915.60-0916.90] 在9T时刻,
[0916.90-0918.80] 收到进位信号,
[0918.80-0920.90] 经过两T延迟后,
[0920.90-0922.30] 在11T时刻,
[0922.30-0924.30] 产生进位信号,
[0924.30-0926.50] 在经过1T延迟,
[0926.50-0928.10] 在12T时刻,
[0928.10-0932.10] 该加法器的最低位产生合数的S12位,
[0932.10-0933.40] 与此同时,
[0933.40-0936.10] 又起第三个四位快速加法器,
[0936.10-0940.77] 产生合数的S9到S11这三位,
[0940.77-0942.97] 在经过两T延迟,
[0942.97-0944.67] 在14T时刻,
[0944.67-0947.07] 又起第四个四位快速加法器,
[0947.07-0952.15] 产生合数的S13到S15这三位,
[0952.15-0955.05] 对上述分析不太明白的同学,
[0955.05-0956.75] 请回退到之前,
