[0004.14-0008.70] 同学们好,欢迎大家来到我的计算机组成原理维克唐
[0008.70-0013.62] 本节课,我们简单介绍一下计算机硬件的相关内容
[0013.62-0019.02] 在上级课中,我们给大家介绍了电子数字计算机的发展历程
[0019.02-0022.27] 从20世纪40年代中期至今
[0022.27-0027.79] 尽管计算机的硬件技术经历了电子管、经级管、集成电路
[0027.79-0031.03] 和超大规模集成电路等多个发展阶段
[0031.32-0038.88] 但是,当今大多数通用计算机仍然符合冯诺依曼计算机的主要设计思想
[0038.88-0044.52] 我们曾给大家介绍过的世界上第一台使用的电子数字计算机
[0044.52-0049.80] 艾利亚克,采用的是实境制,并且没有内存储弃
[0049.80-0055.56] 需要通过旋钮、开关和接叉线的不同位置来表示程序
[0055.56-0059.13] 在艾利亚克上设置一个使用程序
[0059.29-0062.71] 往往需要几天,甚至几周的时间
[0062.71-0066.89] 如非必要,使用者很少愿意修改它
[0066.89-0070.49] 因此,尽管艾利亚克是通用的
[0070.49-0074.49] 却总在一段时间内只专用于某个问题
[0074.49-0079.82] 比如,弹道计算,它的通用价值被大大削弱了
[0079.82-0083.38] 而如果频繁的设置不同程序
[0083.38-0085.88] 机器在很大一部分时间里
[0085.88-0089.86] 会处于设置程序的过程而无法运行
[0090.02-0092.98] 它的高速性能又被大大浪费了
[0092.98-0096.62] 在艾利亚克的总体设计已经完成
[0096.62-0099.34] 并进入硬件实现阶段时
[0099.34-0102.20] 来自曼哈顿计划的冯维曼
[0102.20-0105.56] 曼哈顿计划就是美国的原子弹计划
[0105.56-0111.24] 加入了由默克利和艾克特为主要负责人的艾利亚克团队
[0111.24-0113.48] 一起讨论对他的改进
[0113.48-0118.82] 他们想到,程序能不能通过传统介质输入之后
[0118.98-0123.03] 长期驻存在机器内部的存储器中呢?
[0123.03-0127.19] 1944年,在艾利亚克还未建成之际
[0127.19-0131.03] 研制一台可以存储程序的新机器的申请
[0131.03-0133.38] 就提交到了美国军方
[0133.38-0135.94] 军方很快就同意了这个项目
