[0003.02-0007.22] 同学们好,欢迎大家来到我的计算机组成的原理维克堂。
[0007.22-0014.38] 从本节课开始,我们要用几次课的时间,给同学们介绍虚拟存储器的相关知识。
[0014.38-0020.26] 本节课,我们介绍虚拟存储器的相关概念和基本工作原理。
[0020.26-0025.38] 如同所示,这是我们之前学习过的态势主存系统。
[0025.38-0030.34] 请同学们思考一下,主存中存储的内容是什么?
[0031.47-0037.71] 我想同学们都能正确回答,那就是构成程序的指令和数据。
[0037.71-0046.96] 那么,主存中只存放一个程序的相关指令和数据,还是存放多个程序的相关指令和数据呢?
[0046.96-0056.64] 同学们根据自己对计算机的使用经验,也不但回答出,主存中存放有多个程序的相关指令和数据。
[0057.12-0062.52] 那么,这些程序和数据掉入主存之前存储在哪里呢?
[0062.52-0073.71] 相信同学们都能回答出,这些程序和数据存储在机械硬盘或固态硬盘中,也就是存储在辅存中。
[0073.71-0082.78] 例如上图所示,不知道同学们目前使用的计算机,其内存容量是多大呢?
[0084.00-0087.12] 我想,至少是16G字节起步。
[0087.12-0092.46] 那同学们目前使用的计算机,其复存容量是多大呢?
[0092.46-0096.96] 我想,至少是一替字节起步。
[0096.96-0103.10] 不难发现,上述问题,我们是从用户应用的角度提出的。
[0103.10-0114.64] 通过上述问题,我们也不能发现,主存容量一般缘小于复存,并且不同计算机所配置的主存容量也不完全相同。
[0115.15-0127.15] 然而,从程序源的角度来看,他们在进行程序设计时,不希望受到不同计算机的不同主存容量限制,这是一个需要解决的问题。
[0127.15-0137.42] 另外,现代操作系统往往都是多任务操作系统,在计算机系统中,同时有多个用户程序的进程在运行。
[0137.98-0148.70] 让更多程序的进程在容量盛现的主存中,有效而安全的并发执行,而不相互干扰,这是另一个需要解决的问题。
[0148.70-0159.70] 为了解决上述两个问题,虚拟存储机技术因缘而生,目前几乎所有的计算机中都采用了虚拟存储机技术。
[0159.70-0167.14] 请同学们注意,虚拟存储机只是一种技术,而不是一种物理存储机实体。
[0167.38-0178.62] 这也是虚拟二字的含义,联想一下计算机网络课程中的虚拟局域网微烂,它是一种风格广播域的技术,而不是一种新型网络。
[0178.62-0193.41] 如都所示,这是虚拟存储机的组织结构,可将虚拟存储机看作是主存和辅存构成的,单一的可供CPU直接访问的超大容量主存。
[0193.57-0215.23] 如都所示,程序员在进行编程时,面向的是虚拟存储机,相应的使用的是虚拟地址,其英文缩写词为VA,如都所示,为了实现虚拟存储机,需要增加相应的软件和硬件。
[0215.23-0229.60] 这里的软件是指操作系统,其英文缩写词为OS,如都所示,这里的硬件是指存储机管理单元,其英文缩写词为MMU,
[0229.60-0243.87] 如都所示,CPU通过MMU将指令中的虚拟地址VA转换为主存的物理地址,物理地址的英文缩写词为PA。
[0243.87-0259.20] 在地址转换过程中,MMU会检查是否发生了数据缺失,也就是访问信息不在主存中,或地址越界,访问越权或越极的存储保护错误。
[0259.71-0266.11] 若数据缺失,则由操作系统将数据从辅存调入到主存。
[0266.11-0272.56] 若出现存储保护错误,则由操作系统进行相应的异常处理。
[0272.56-0284.00] 虚拟存储利用程序的局部性原理,从辅存调入程序到主存时,并不是将程序的全部代码和相关数据调入主存。
[0284.24-0290.29] 通常只需要加载很小一部分即可,以提高主存的利用率。
[0290.29-0300.88] 不能发现,这与概式技术是类似的,尽可能将辅存中经常被访问的程序和相关数据的副本调入到主存中。
[0300.88-0308.29] 当主存满时,需要将主存中最不经常访问的程序和相关数据进行淘汰。
[0308.83-0315.87] 请同学们注意,虚拟存储企业由操作系统和相关硬价共同协作实现。
[0315.87-0327.23] 涉及操作系统部分的内容,例如进程、存储管理、虚拟地址空间、缺业处理等,会在操作系统课程中深入讨论。
[0327.23-0332.80] 本课程主要介绍虚拟存储企业所涉及到的硬价部分。
[0332.80-0336.35] 好的,本节课到这里就结束了。
[0336.35-0338.91] 同学们,我们下节课见!
