[0003.22-0007.74] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0007.74-0011.10] 在上期课中,我们给同学们介绍了
[0011.10-0016.14] 主存系统优化的第二种方法,也就是单体多字存储器
[0016.14-0019.86] 从本节课开始,我们要用两词课的时间
[0019.86-0023.82] 给同学们介绍,主存系统优化的第三种方法
[0023.82-0026.26] 即多体交叉存储器
[0026.26-0031.01] 多体交叉存储器,也由多个存储模块构成
[0031.17-0034.61] 这些模块的容量和存取速度相同
[0034.61-0039.74] 根据对多个模块编织方式的不同,又分为以下两种
[0039.74-0042.62] 一种是高位多体交叉
[0042.62-0045.76] 另一种是低位多体交叉
[0045.76-0050.78] 本节课我们举例说明什么是高位多体交叉
[0050.78-0057.15] 如读所示,M0到M3是四个规格相同的存储模块
[0057.15-0060.99] 每个存储模块由8个存储单元组成
[0061.15-0063.31] 并且共用数据总线
[0063.31-0067.58] 由高位多体交叉存储器构建的主存系统
[0067.58-0072.78] 其主存地址由模块地址和块内地址两部分构成
[0072.78-0076.29] 由于本例中有四个存储模块
[0076.29-0080.05] 因此,模块地址占两个二斤之位
[0080.05-0085.73] 这是因为,两个二斤之位共有二的二次方等于四个组合
[0085.73-0088.13] 从00到11
[0088.61-0093.17] 假设我们给存储模块M0分配的模块地址为00
[0093.17-0099.36] 因此,M0内部各存储单元地址的模块地址部分都为00
[0099.36-0104.10] 我们给存储模块M1分配的模块地址为01
[0104.10-0109.86] 因此,M1内部各存储单元地址的模块地址部分都为01
[0109.86-0114.80] 我们给存储模块M2分配的模块地址为10
[0114.96-0121.34] 因此,M2内部各存储单元地址的模块地址部分都为10
[0121.34-0125.90] 我们给存储模块M3分配的模块地址为11
[0125.90-0132.32] 因此,M3内部各存储单元地址的模块地址部分都为11
[0132.32-0137.26] 由于每个存储模块都包含有八个存储单元
[0137.26-0141.46] 因此,块内地址占三个二斤之位
[0141.62-0147.62] 这是因为三个二斤之位共有二的三字方等于八个组合
[0147.62-0150.18] 从3个0到3个1
[0150.18-0157.60] 假设我们给存储模块M0的第一个存储单元分配的块内地址为00
[0157.60-0161.84] 第二个存储单元分配的块内地址为001
[0161.84-0163.36] 以此类推
[0163.36-0174.11] 从里,这是给其他三个存储模块各自内部的存储单元分配的块内地址
[0174.27-0178.80] 相信同学们都能看懂,我们就不再赘述了
[0178.80-0186.16] 不难看出,高位多体交叉方式中不同存储模块对应不同的地址空间
[0186.16-0190.00] 将地址顺序分配给一个存储模块号
[0190.00-0194.35] 按顺序为下一个存储模块分配地址
[0194.35-0200.08] 因此,高位多体交叉又称为顺序编纸模式
[0200.08-0204.56] 由于程序具有局部性和连续性的特点
[0204.56-0210.32] 因此,采用高位多体交叉,也就是顺序编纸模式
[0210.32-0215.92] 程序的指令和数据基本分布在同一个主存模块中
[0216.05-0218.75] 例如本地所示
[0218.75-0222.75] 这样就会导致在程序执行过程中
[0222.75-0226.03] 同一个主存模块被频繁访问
[0226.03-0230.03] 而其他主存模块基本处于空前状态
[0230.03-0234.53] 无法实现多个主存模块的并行工作
[0234.69-0241.68] 例如,本地所示,很多同学已经发现了
[0241.68-0246.72] 高位多体交叉方式的主要目的是扩充存储的容量
[0246.72-0252.24] 这与我们之前介绍过的存储自扩展是完全相同的
[0252.24-0256.26] 好的,本节课到这里就结束了
[0256.26-0258.90] 同学们,我们下节课见
