[0003.22-0007.54] 同學們好,歡迎大家來到我的計算機組成原理威克堂。
[0007.54-0014.10] 從本節課開始,我們進入第五章的學習,第五章的內容是指令系統。
[0014.10-0020.05] 本節課,我們對指令系統進行概述,不知同學們失法還記得,
[0020.05-0026.21] 我們在本課程第一章中,給同學們介紹計算機的基本工作原理時,
[0026.21-0031.25] 就已經給同學們簡單介紹過了機器指令的相關知識。
[0031.49-0037.89] 我們知道,計算機是按照程序原事先編制好的程序進行工作的。
[0037.89-0046.42] 程序會被翻譯成一系列相應的指令,這些指令告訴計算機如何執行特定的任務。
[0046.42-0054.51] 這裡的翻譯,我們也在第一章中介紹過,可分為編譯、匯編或解釋等。
[0054.51-0061.12] 我們可將指令看作是計算機硬件能夠理解和執行的基本命令。
[0061.36-0073.39] 這些命令,包括算數運算、邏輯運算、數據傳送、跳轉等操作,每條指令必須顯示或隱視的提供以下信息。
[0073.39-0075.82] 1.執行的操作
[0075.82-0078.51] 2.操作數的來源
[0078.51-0081.68] 3.操作結果的存放處
[0081.68-0084.56] 4.下一條指令的地址
[0084.94-0095.34] 上述前三條信息,在第一章給同學們介紹計算機的基本工作原理時所採用的例子中,已經有了很好的勢力。
[0095.34-0102.70] 忘記了的同學,可以看看該例子中,每條機器指令的注視,我們就不再墜速了。
[0102.96-0113.36] 需要說明的是,對於第四條信息,也就是下一條指令的地址,一般情況下,不需要在指令中顯示給出,
[0113.52-0125.01] 而是隱含在程序技術企業PC中,指令按順序執行時,PC的值會自動加上指令長度,來得到下一條指令的地址。
[0125.01-0132.64] 當遇到轉移指令,而不按順序執行時,需要由指令給出轉移到的目的地址。
[0132.64-0143.39] 我們知道,一臺計算機中包含有多條指令,因此,將一臺計算機中所有指令的集合,成為該計算機的指令級。
[0143.55-0153.81] 也成為指令系統,不知同學們是否還記得,我們在第一章中,給同學們介紹過的計算機系統的層次結構。
[0153.81-0162.43] 從計算機系統的層次結構可以看出,計算機系統不同層次的用戶,會使用不同級別的指令。
[0162.43-0174.35] 例如,圖中所示,高級圓指令和會邊圓指令屬於軟件層次,而機器指令和微指令屬於硬件層次。
[0174.85-0182.61] 軟件層次的指令,需要編譯、會邊或解釋成機器指令後,才能被計算機硬件執行。
[0182.61-0189.36] 一般來說,一條高級圓指令,會被編譯或解釋成多條機器指令。
[0189.36-0201.71] 一條會邊圓指令,通常會被會邊成一條機器指令,而一條機器指令,需要實現的功能,往往依賴於多條微指令的執行。
[0202.02-0211.22] 不難看出,機器指令是計算機硬件與軟件的界面,也是用戶操作和使用計算機硬件的接口。
[0211.22-0221.50] 因此,本章從機器指令級來介紹指令系統,而下一章從微指令級來介紹中央處理器。
[0221.50-0227.66] 請同學們注意,指令系統是計算機軟硬件系統的設計基礎。
[0228.11-0238.75] 軟件設計人員需要根據指令系統設計計算機的系統軟件,例如圖中所示的屬於操作系統層的操作系統軟件。
[0238.75-0250.29] 硬件設計人員需要根據指令系統設計計算機的硬件邏輯電路,例如圖中所示的屬於邏輯電路層的硬件邏輯電路。
[0250.70-0256.86] 通常所說,指令系統的設計會直接影響計算機的性能和成本。
[0256.86-0263.31] 好的,本節課到這裡就結束了。同學們,我們下節課見!
