[0003.60-0007.44] 同學們好,歡迎大家來到我的計算機組成園裡威克黨
[0007.44-0010.16] 在上期課中,我們給同學們介紹了
[0010.16-0012.64] IOW控制方式中的程序查詢方式
[0012.64-0014.80] 程序查詢方式的基本思想是
[0014.80-0018.40] CPU按獨占式查詢策略或定時輪迅策略
[0018.40-0021.20] 讀取IOW接口的狀態計算器DSR
[0021.20-0023.68] 以檢查IOW設備是否就緒
[0023.68-0025.84] 為了讓同學們更容易理解
[0025.84-0029.20] 我們還給出了程序查詢方式和採用的
[0029.20-0033.28] 獨占式查詢策略與定時輪迅策略的對比試意圖
[0033.44-0036.48] 可以看到,若採用獨占式查詢策略
[0036.48-0038.88] 則在IOW設備準備數據的過程中
[0038.88-0041.44] CPU完全被查詢程序獨占
[0041.44-0044.24] 輪迅等待會浪費大量CPU時間
[0044.24-0046.40] 一般在單任務操作系統中
[0046.40-0048.16] 可採用獨占式查詢
[0048.16-0052.24] 因為CPU在輪迅等待過程中不需要執行其他任務
[0052.24-0054.35] 若採用定時輪迅策略
[0054.35-0056.67] 則在IOW設備準備數據的過程中
[0056.67-0058.67] CPU可以執行其他任務
[0058.67-0060.67] 這樣就有效避免了
[0060.67-0063.87] 輪迅等待對CPU時間的大量浪費
[0063.87-0066.03] 不過,定時器中斷服務
[0066.03-0068.59] 還是需要佔用一定的CPU時間
[0068.59-0070.99] 定時輪迅適用於外部設備自身
[0070.99-0074.62] 沒有中斷請求功能的多任務操作系統
[0074.62-0078.94] 在同學們理解了程序查詢方式這種IOW控制方式號
[0078.94-0081.18] 本節課,我們給同學們介紹
[0081.18-0083.82] IOW控制方式中的中斷取動方式
[0083.82-0088.78] 這種IOW控制方式需要IOW設備自身具有中斷請求功能
[0088.78-0091.18] IOW設備在完成自身操作後
[0091.18-0093.74] 主動向CPU發出中斷請求
[0093.74-0097.02] CPU在等待期間可以執行其他任務
[0097.02-0100.14] 收到中斷請求後再處理數據傳送
[0100.14-0102.70] 因此提高了CPU利用率
[0102.70-0105.98] 接下來,我們畫出中斷取動方式的示意圖
[0105.98-0107.66] 以方便同學們理解
[0107.66-0112.94] 如同所示,CPU執行包含有訪問IOW設備功能的用戶程序
[0112.94-0114.91] 繼為用戶進程PE
[0114.91-0118.19] 用戶進程PE通過系統調用REIT的函數
[0118.19-0120.19] 從IOW設備讀取數據
[0120.35-0123.79] 該系統調用會使操作系統進入內核態
[0123.79-0126.35] 之後,通過IOW設備的驅動程序
[0126.35-0130.59] 將讀命令和相關參數通過IOW接口發送給IOW設備
[0130.59-0132.48] 以便啟動IOW設備
[0132.48-0135.44] IOW設備收到後進入準備階段
[0135.44-0139.76] 之前,用戶進程PE發送完讀命令和相關參數後
[0139.76-0142.08] 就通過系統調用REIT函數
[0142.08-0145.44] 以便操作系統將其放入IOW等待對列
[0145.44-0149.12] 操作系統通過進程調度進行上下文切換
[0149.28-0151.36] 調度用戶進程PE2運行
[0151.36-0152.48] 可以看到
[0152.48-0156.64] 用戶進程PE2的運行與IOW設備的準備階段是並行的
[0156.64-0158.80] 當IOW設備準備好數據號
[0158.80-0161.20] 立刻向CPU發出中斷請求
[0161.20-0163.92] 以告知CPU數據準備就緒
[0163.92-0166.19] CPU收到中斷請求號
[0166.19-0168.35] 會暫停當前進程的執行
[0168.35-0171.07] 轉去執行IOW設備中斷服務程序
[0171.07-0173.71] 此時,操作系統處於內核態
[0173.71-0175.95] 中斷服務程序的主要任務是
[0175.95-0179.15] 喚醒IOW等待對列中的用戶進程PE
[0179.15-0183.31] 這裡我們採用通過系統調用SIGNAL函數的方式
[0183.31-0186.69] 是用戶進程PE進入就緒對列
[0186.69-0190.21] 中斷服務程序的最後一條指令是中斷返回指令
[0190.21-0191.73] 該指令執行完畢後
[0191.73-0193.97] 就會返回斷點繼續執行
[0193.97-0197.65] 也就是繼續執行用戶進程PE2的剩餘部分
[0197.65-0201.09] 由於用戶進程PE之前已經進入就緒對列
[0201.09-0203.89] 因此通過操作系統的進程調度
[0203.97-0207.33] PE總會獲得CPU時間片輪轉而得到執行
[0207.33-0209.42] 總而完成數據成數
[0209.42-0211.42] 不知同學們是否發現了
[0211.42-0214.38] 該示意途中所涉及到的系統調用
[0214.38-0217.10] IOW設備驅動程序內核態等概念
[0217.10-0220.06] 我們在之前的有關IOW接口的那些課中
[0220.06-0222.78] 在介紹IOW接口的軟件架構時
[0222.78-0224.46] 已經給同學們介紹過了
[0224.46-0227.58] 忘記了的同學,請快速複習一下
[0227.58-0236.08] 接下來,請同學們暫停播放視頻
[0236.24-0240.32] 回憶一下我們上節課給同學們介紹的程序查詢方式
[0240.32-0245.36] 以便稍後我們將其與本節課介紹的中斷驅動方式進行對比
[0245.36-0252.74] 好的,我們給出對比結果
[0252.74-0255.70] 相較於程序查詢的獨佔式查詢策略
[0255.70-0258.66] 中斷驅動方式不需要輪循設備狀態
[0258.66-0261.60] 相較於程序查詢的定時輪行策略
[0261.60-0265.04] 中斷驅動方式中的IOW設備主動請求中斷
[0265.04-0266.80] 更具有實時性
[0266.96-0272.08] 不需要考慮定時輪行策略中定時器定時中斷的時間間隔選擇問題
[0272.08-0276.96] 從上所說,中斷驅動方式有效消除了CPU的輪循開銷
[0276.96-0278.88] 極大提高了IOW效率
[0278.88-0282.40] 是現代計算機中普遍採用的一項重要技術
[0282.40-0286.46] 但是,相較於程序查詢的獨佔式查詢策略
[0286.46-0289.26] 中斷驅動方式仍有時間開銷
[0289.26-0292.94] 包括進程調度的兩次上下文切換時間
[0292.94-0295.82] IOW設備中斷幅程序自身的開銷
[0296.40-0299.44] 中斷驅動方式提升IOW效率的前提是
[0299.44-0303.44] 上述額外開銷小於IOW設備準備數據的時間
[0303.44-0306.96] 因此,中斷驅動方式適合於慢速設備
[0306.96-0308.96] 對於極高速的IOW設備
[0308.96-0310.80] 其準備數據的時間很短
[0310.80-0312.80] 比上述額外開銷還短
[0312.80-0314.72] 採用中斷驅動方式的效率
[0314.72-0318.64] 反而比程序查詢的獨佔式查詢策略的效率更低
[0318.64-0321.76] 因此,程序查詢的獨佔式查詢策略
[0321.76-0324.24] 並不一定只適合慢速設備
[0324.40-0327.52] 而在一些高速設備中也被普遍採用
[0327.52-0331.79] 例如NVME固態硬盤在處理同步IOW時
[0331.79-0334.99] 就採用程序查詢的獨佔式查詢策略
[0334.99-0338.54] 好的,接下來請同學們挑戰幾道
[0338.54-0341.98] 與本節課內容相關的408考研歷年針題
[0341.98-0344.94] 首先來挑戰2014年的題22
[0344.94-0347.26] 請同學們暫停播放視頻
[0347.26-0350.62] 動手練習一下,然後給出你的答案
[0350.62-0357.71] 本題的答案是選項幣
[0357.71-0359.15] 大家都選對了嗎?
[0359.15-0360.83] 我們來一起分析一下
[0360.83-0363.55] 如族所示,水平方向為時間
[0363.55-0367.39] 假設在該時刻,IOW設備發出中斷請求
[0367.39-0371.15] 題不給定,每400納秒發出一次中斷請求
[0371.15-0375.55] 因此,在該時刻,IOW設備發出下一次中斷請求
[0375.55-0376.75] 以此類推
[0376.75-0382.00] 假設在該時刻,針對第一次中斷請求進行了中斷返回
[0382.00-0386.16] 題不給定,中斷請求的響應和處理時間為100納秒
[0386.32-0390.75] 其中,中斷響應所允許的最長延遲時間為50納秒
[0390.75-0392.35] 從該圖可以看出
[0392.35-0396.67] CPU每400納秒就要花費100納秒進行中斷處理
[0396.67-0399.71] 因此,CPU用於該設備的IOW時間
[0399.71-0401.71] 佔整個CPU時間的百分比
[0401.71-0406.19] 至少是100納秒除以400納秒等於25%
[0406.19-0409.23] 從上所說,本題的答案是選項幣
[0409.23-0412.69] 再來挑戰2019年的題21
[0412.69-0414.85] 請同學們暫停播放視頻
[0414.85-0418.05] 動手練習一下,然後給出你的答案
[0418.05-0424.05] 本題的答案是選項A
[0424.05-0425.49] 大家都選對了嗎?
[0425.49-0427.41] 我們來一起分析一下
[0427.41-0431.90] 題不給定,設備接口中的數據緩衝計程器為32位
[0431.90-0436.62] 因此,一次中斷可傳輸32處以8等於4個字節
[0436.62-0441.30] 題不給定,設備以中斷方式與CPU進行數據交換
[0441.30-0444.66] 設備的數據傳輸率為50k字節每秒
[0444.90-0451.06] 因此,每秒需要中斷的次數為50k字節除以4字節等於12.5k
[0451.06-0454.34] 題不給定,CPU主頻為1GHz
[0454.34-0458.42] 因此,CPU時間為10的9次方個時鐘週期
[0458.42-0462.83] 題不給定,一次中斷開銷為1000個時鐘週期
[0462.83-0466.75] 從上所說,CPU用於該設備輸入輸出的時間
[0466.75-0470.91] 佔整個CPU時間的百分比最多為1000個時鐘週期
[0470.91-0475.31] 乘以12.5k,然後除以10的9次方個時鐘週期
[0475.31-0477.23] 等於1.25%
[0477.23-0480.11] 因此,本題的答案為選項A
[0480.11-0483.55] 再來挑戰2022年的題21
[0483.55-0488.67] 請同學們暫停播放視頻,思考一下,然後給出你的答案
[0488.67-0496.46] 本題的答案是選項C,大家都選對了嗎?
[0496.46-0498.30] 我們來一起分析一下
[0498.30-0502.06] 如族所示,這是本節測,我們給同學們介紹的
[0502.06-0504.70] IOW控制方式中的中斷驅動方式
[0504.86-0508.78] 我們知道,中斷驅動方式提升IOW效率的前提是
[0508.78-0513.42] 額外開銷,也就是進程調度的兩次上下文切換時間
[0513.42-0515.90] 加上中斷服務程序自身開銷
[0515.90-0518.62] 小於IOW設備準備數據的時間
[0518.62-0522.22] 因此,中斷驅動方式適合於慢速設備
[0522.22-0525.02] 從上所說,選項C的敘述錯誤
[0525.02-0528.38] 因為它違反了中斷驅動方式的使用條件
[0528.38-0530.38] 而選項A的敘述正確
[0530.38-0533.66] 因為鍵盤、真實打印機等自服型設備
[0533.74-0535.34] 都屬於慢速設備
[0535.34-0537.90] 慢速中斷驅動方式的使用條件
[0537.94-0540.26] 從該示意圖還可以看出
[0540.26-0545.30] IOW設備與CPU之間的數據傳送是通過用戶進程來完成的
[0545.30-0549.41] 這種方式適合比較耗時的批量數據傳送
[0549.41-0552.29] 當然了,如果數據傳送量很少
[0552.29-0555.97] 也可以利用中斷服務程序來完成數據傳送
[0555.97-0560.61] 中上所說,不管是通過用戶進程來完成批量數據傳送
[0560.69-0564.53] 還是利用中斷服務程序來完成少量數據傳送
[0564.53-0569.17] IOW設備與CPU之間的數據傳送都是通過軟件完成的
[0569.17-0571.73] 因此,選項B的敘述正確
[0571.73-0574.40] 從該示意圖還可以看出
[0574.40-0577.60] IOW設備為用戶進程PE準備數據時
[0577.60-0579.92] CPU可以運行用戶進程PR
[0579.92-0582.48] 這樣就提高了CPU的利用率
[0582.48-0585.28] 因此,選項B的敘述正確
[0585.28-0588.48] 總上所說,本題的答案為選項C
[0589.07-0591.87] 好的,本節課到這裡就結束了
[0591.87-0595.63] 請同學們快速回憶一下本節課的主要內容
[0595.63-0611.17] 同學們,我們下節課見
