[0003.41-0007.73] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0007.73-0010.37] 本节课,我们介绍字扩展。
[0010.37-0014.29] 在上一课中,我们给同学们介绍了位扩展。
[0014.29-0023.01] 当存储芯片的数据总线位宽,小于CPU数据总线位宽时,就需要采用位扩展的方式进行扩展。
[0023.01-0032.34] 而我们本节课将要介绍的字扩展,是当存储芯片的存储容量不能满足存储器对存储容量的需求时,
[0032.34-0034.50] 所应采用的扩展方式。
[0034.50-0043.31] 我们来举例说明,这是本例给定的CPU,其数据总线位宽为8位,记作地零到第7。
[0043.47-0048.43] 地质总线位宽为21位,记作A0到A20。
[0048.43-0058.08] 根据地质总线的位宽为21位,我们可计算出可寻止空间的大小为2的21次方,也就是2兆。
[0058.59-0069.92] 这是本例给定的SRAM存储芯片,其数据总线位宽也为8位,与CPU的数据总线位宽相同,因此不用进行位扩展。
[0069.92-0086.66] 该存储芯片有A0到A17共18个地址领奖,这是因为该存储芯片的容量为256K×8位,256K可写成2的18次方,因此需要18条地址线。
[0087.30-0100.24] 由于CPU有A0到A20共21个地址领奖,可寻止空间的大小为2兆,是该存储芯片可寻止空间256K的8位。
[0100.24-0111.78] 因此,本例要求我们采用自扩展方式将8片这种SRAM存储芯片组成2兆×8位的存储器,并与CPU连接。
[0112.21-0138.18] 将CPU地址总线中的A0到A17共18个地址领奖,连接到每一片存储芯片相应的18个地址领奖,而剩余的A18到A20共3个地址领奖,分别连接到38亿码器的3个亿码输入领奖,而38亿码器的8个亿码输出领奖,分别连接到相应存储芯片的片血领奖CS。
[0138.78-0157.02] 有关异码器的知识,我们在之前的几次课中都有接触,例如,就本例中的SRAM存储芯片而言,其内部就包含有航地的异码器和列地的异码器双异码结构,因此我们就不再坠述异码器的相关知识了。
[0157.02-0168.69] 将CPU的存储器请求控制领奖MREQ连接到38亿码器的输出使能领奖OE,将CPU的读写控制领奖RW,
[0168.69-0179.53] 连接到每一片存储芯片的写使能领奖WE,将CPU的8位数据总线连接到每一片存储芯片的8位数据总线。
[0179.53-0186.66] 至此,我们就完成了本例所要求的主存扩展,以及与CPU的连接。
[0186.66-0192.22] 接下来,我们来看看本例中,CPU对主存的仿务过程。
[0192.73-0201.33] 出使状态下,CPU的存储器请求控制领奖MREQ输出无效电瓶,也就是高电瓶。
[0201.33-0208.70] 我们用E来表示,这会使得38亿码器的8个亿码输出全部都为无效电瓶。
[0208.70-0215.82] 各存储芯片的片写引脚CS收到该无效电瓶,因此不被选中工作。
[0216.12-0222.80] 进而,各自的8位数据总线输出为高组态,可认为未与CPU的数据总线连接。
[0222.80-0232.49] CPU的读写控制引脚RW输出高电瓶,各存储芯片的写使能引脚WE收到该高电瓶。
[0232.49-0239.49] 由于各存储芯片此时都未被选中工作,因此不会理会该信号。
[0239.49-0246.39] 而CPU的地址总线和数据总线的输出未知,或者说可以不用关心。
[0247.04-0251.56] 在初始状态下,假设CPU要进行独操作。
[0251.56-0263.99] CPU的21条地址总线送出21位的地址,其中各存储芯片都会通过各自的18个地址引脚收到这21位地址的第18位。
[0263.99-0271.98] 而38亿码器的3个亿码输入引脚收到高三位地址,假设了这个高三位地址为00。
[0272.37-0278.17] 之后,CPU的存储器请求控制引脚MREQ输出低电瓶。
[0278.17-0291.90] 38亿码器的输出使能引脚OE收到该低电瓶时,将三位亿码输入亿码乘八位亿码输出,具体为外零输出有效信号,也就是低电瓶。
[0291.90-0297.90] 而外一到外七仍保持输出无效信号,也就是高电瓶。
[0298.20-0306.60] 这样,8片存储芯片中,只有片选引脚CS收到有效电瓶的该存储芯片被选中工作。
[0306.60-0316.53] 而该存储芯片通过自身18个地址引脚收到的18位地址所对应的存储芯片内部的那个存储单元被选中。
[0316.53-0326.46] 由于此时该存储芯片的写使能引脚WE上的信号是之前由CPU的读写控制引脚RW输出的高电瓶。
[0326.66-0337.66] 因此该存储芯片将被选中的存储单元中存储的8位数据通过自己的8位数据总线传送到CPU的8位数据总线。
[0337.66-0350.28] 由于此时剩余7片存储芯片都未被选中工作,因此他们各自的8位数据总线处于高阻态,不会对CPU的8位数据总线产生影响。
[0350.28-0355.40] 之后,CPU通过8位数据总线读取8位数据。
[0356.12-0361.52] 接下来,我们来看在初始状态下,CPU进行写操作的过程。
[0361.52-0366.98] CPU的8位数据总线,送出8位再写入主存的数据。
[0366.98-0371.80] CPU的21条地址总线,送出21位的地址。
[0371.80-0379.96] 其中,各存储芯片都会通过各自的18个地址引脚,收到这21位地址的第18位。
[0379.96-0384.86] 而381码器的3个1码输入引脚,收到高三位地址。
[0385.52-0388.74] 假设这个高三位地址为111。
