[0003.44-0007.92] 同学们好,欢迎大家来到我的计算机组成员里为课堂
[0007.92-0011.68] 本节课,我们介绍DRAM的动态刷新
[0011.68-0017.76] 在上次课中,我们给同学们介绍了DRAM存储员的组成和工作员力
[0017.76-0022.96] 以及使用多个DRAM存储员扩展成DRAM存储阵列的方法
[0022.96-0027.44] 既然介绍了DRAM的独操作和写操作流程
[0027.74-0033.34] 相比,DRAM的独操作和写操作要复杂一些
[0033.34-0037.74] 因此,为了简单起见,我们在上节课中
[0037.74-0040.46] 回避了DRAM动态刷新的问题
[0040.46-0044.06] 本节课,我们就专门介绍这个问题
[0044.06-0046.85] 通过上节课的学习,我们知道
[0046.85-0050.93] DRAM存储员中的贸付管不可能完美关断
[0050.93-0055.81] 这会导致存储员中的存储电容上的电课逐渐泄漏
[0055.97-0059.25] 数据一,只能保存矫短的时间
[0059.25-0061.49] 为了避免数据丢失
[0061.49-0067.25] 必须定期采用类似独操作的方式对存储电容补充电荷
[0067.25-0069.97] 也就是进行动态刷新
[0069.97-0076.18] 在本节课中,我们首先介绍与动态刷新相关的基本概念
[0076.18-0082.82] 包括刷新周期,刷新存储员的数量,刷新与独操作的区别
[0083.14-0087.06] 竟然,我们给同学们介绍三种动态刷新方式
[0087.06-0091.54] 包括集中刷新,分散刷新,异不刷新
[0091.54-0095.73] 好的,我们首先来看什么是刷新周期
[0095.73-0101.76] 从数据存入DRAM开始,到数据丢失之前为止的这段时间
[0101.76-0104.16] 称为最大刷新周期
[0104.16-0108.43] 它用不同材料以及不同生产工艺生产的DRAM
[0108.43-0111.39] 且最大刷新周期可能不同
[0111.55-0115.31] 常见的有2毫秒、4毫秒、8毫秒等
[0115.31-0122.48] 而刷新周期是DRAM实际完成两次完整刷新之间的时间间隔
[0122.48-0127.57] 因此,刷新周期小于等于最大刷新周期
[0127.57-0130.70] 再来看刷新存储员的数量
[0130.70-0133.41] 通过上节课的学习,我们知道
[0133.41-0135.97] 在进行独操作的过程中
[0135.97-0141.65] 待独取的存储员所在行的所有存储员的状态,都会遭到破坏
[0141.81-0147.81] 因此,独操作后,必须立刻进行该行所有存储员的数据恢复
[0147.81-0152.62] 而刷新存储员的目的,也是进行数据恢复
[0152.62-0158.50] 因此,我们不难得出,刷新存储员也是按行进行刷新的
[0158.50-0164.48] 为了缩短刷新周期,可减少存储阵列的行数、增加列数
[0164.48-0169.68] 需要说明的是,刷新操作是由内存控制器来负责的
