[0003.70-0008.30] 同學們好,歡迎大家來到我的計算機組成原理微課堂。
[0008.30-0016.50] 在上節課中,我們給同學們介紹了主存系統優化的一種方法,也就是雙端口存儲器。
[0016.50-0024.73] 本節課,我們給同學們介紹主存系統優化的另一種方法,即單體多字存儲器。
[0024.73-0037.18] 我們來舉例說明,如同所示,這是兩個存儲模塊,可以簡單的認為這是兩根內存條,這是CPU中的內存控制器。
[0037.18-0053.72] 將內存控制器的遍水銀角分別連接到兩個存儲模塊各自的遍水銀角,將內存控制器的地質總線的全部銀角分別連接到兩個存儲模塊各自的地質總線銀角。
[0053.72-0068.32] 假設內存控制器的數據總線為128位,而兩個存儲模塊各自的64位數據總線分別連接到內存控制器的128位數據總線中相應的64位。
[0068.32-0082.26] 這樣就完成了單體多字存儲器的構建,可能很多同學已經發現了,單體多字存儲器的構建與存儲器位擴展方式是完全相同的。
[0082.26-0105.92] 多個存儲模塊共享地質總線,按同一地質並行訪問不同存儲模塊的同一單元,因此實現了同一個存儲週期內訪問多個存儲字,如果有N個存儲模塊,則按單體多字存儲器的方法,可將主存貸寬提高N倍。
[0105.92-0115.27] 實際上,目前在計算機中常見的多通道內存技術,就是採用的單體多字技術。
[0115.27-0132.22] 例如,在這塊PC主板上,有四個內存插槽,根據其說明書可知,將兩條同樣規格的內存條分別插入二號槽位和四號槽位時即可構建雙通道內存。
[0132.65-0139.35] 這需要用戶購買的兩根內存條的容量、頻率、實際參數等完全一致。
[0139.35-0151.80] 我想同學們通過左側的硬件原理圖,應該不難理解,在構建雙通道內存時,為什麼要求兩條內存條的規格要完全相同?
[0151.80-0162.62] 可能有些同學之前就知道,構建雙通道內存可以提高內存的訪問性能,但對其本質原因可能並不了解。
[0162.94-0170.34] 通過本節課的學習,相信同學們對雙通道內存技術的原理有了進一步的了解。
[0170.34-0182.84] 上述這種雙通道內存技術稱為聯動模式,我們給出另一種雙通道內存技術,也就是非聯動模式的硬件原理圖。
[0182.84-0191.44] 這種雙通道內存技術,要求內存控制器具有兩套獨立的端口,分別連接兩個內存條。
[0191.93-0199.19] 兩個內存條可並發工作,但它們的地址,讀寫命令,不需要同步。
[0199.19-0208.47] 因此,兩個內存條只要頻率相同即可,該模式靈活性更高,但控制更複雜。
[0208.47-0212.90] 好的,本節課到這裡就結束了。
[0212.90-0215.50] 同學們,我們下節課見!
