[0003.28-0007.28] 同學們好,歡迎大家來到我的計算級組成園裡威克堂
[0007.28-0010.38] 在前兩次課中,我們分別給同學們介紹了
[0010.38-0015.88] 總線集中式仲裁的三種方式,以及總線分布式仲裁的三種方式
[0015.88-0019.48] 主設備通過總線仲裁或者總線控制權後
[0019.48-0025.08] 就可以開始使用總線與從設備傳送信息實現具體的總線事務
[0025.08-0029.48] 總線事務的每個步驟,總線上各類信號合時開始和結束
[0029.48-0031.68] 都屬於總線定時問題
[0031.68-0035.98] 本節課,我們就給同學們介紹總線定時的相關知識
[0035.98-0043.88] 常見的總線定時有,同步通信方式,易步通信方式,半同步通信方式,以及分離事務通信方式
[0043.88-0049.31] 其中,易步通信方式可分為非戶鎖、半戶鎖、全戶鎖三種
[0049.31-0052.41] 接下來,我們首先來看同步通信
[0052.41-0055.91] 在之前本章有關總線分類的那節課中
[0055.91-0062.71] 我們曾給同學們介紹過,按時期控制方式可將總線分類為同步總線和易步總線
[0062.71-0068.94] 傳輸雙方基於同步總線的同步通信,是在一個公共時鐘信號的控制下進行的
[0068.94-0071.54] 通信按預定的時鐘中計進行
[0071.54-0077.74] 而傳輸雙方基於易步總線的易步通信,不使用公共時鐘信號進行控制
[0077.74-0081.34] 而是靠說話雙方之間的握手信號來協調
[0081.74-0088.14] 在那節課中,我們僅要求同學們記住同步通信與易步通信的上述主要區別
[0088.14-0092.54] 而將重點放在了從不同角度對總線進行分類上
[0092.54-0097.34] 本節課,我們對同步通信與易步通信做進一步的介紹
[0097.34-0100.14] 首先來看同步通信的這個例子
[0100.14-0106.54] 本體展示的是,同步通信方式下,CPU從某設備讀起數據的簡化時序圖
[0106.94-0112.74] 需要說明的是,嚴格來說,總線傳輸週期還應包含總線申請階段
[0112.74-0115.94] 也就是我們上節課介紹的總線仲裁
[0115.94-0118.94] 好的,我們來一起分析該時序圖
[0118.94-0124.14] CPU,也就是主設備,在時鐘信號的第一個時鐘週期的上升延
[0124.14-0127.60] 發送目標從設備的地址到地址總線上
[0127.60-0132.20] CPU在時鐘信號的第二個時鐘延的上升延,發送讀命令
[0132.20-0134.80] 本體中是將讀控制信號拉低
[0135.13-0139.73] 目標從設備,在時鐘信號的第三個時鐘週期的上升延到來前
[0139.73-0143.13] 將CPU所需數據送到數據總線上
[0143.13-0146.96] CPU在時鐘信號的第三個時鐘週期的上升延
[0146.96-0151.16] 將數據總線上的數據送到CPU內部的基存器中
[0151.16-0156.46] CPU在時鐘信號的第四個時鐘週期的上升延,撤銷讀命令
[0156.46-0160.12] 目標從設備不再向數據總線發送數據
[0160.12-0164.92] 時鐘信號的第四個時鐘週期結束後,整個總線傳輸過程結束
[0165.67-0170.87] 本體是同步通信方式下,CPU從某設備讀取數據的時序圖
[0170.87-0174.33] 而下面這個例子,是同步通信方式下
[0174.33-0179.33] CPU向某設備寫入數據的簡化時序圖,我們來一起分析
[0179.33-0182.93] CPU在時鐘信號的第一個時鐘週期的上升延
[0182.93-0186.13] 發送目標從設備的地址到地址總線上
[0186.13-0190.93] 下向延發送待寫入目標從設備的數據到數據總線上
[0190.93-0194.33] CPU在時鐘信號的第二個時鐘週期的上升延
[0194.33-0195.96] 發送寫命令
[0195.96-0201.36] 目標從設備需要時鐘信號的兩個時鐘週期來完成數據寫入
[0201.36-0206.39] CPU在時鐘信號的第四個時鐘週期的上升延,撤銷寫命令
[0206.39-0209.55] CPU不再向數據總線發送數據
