[0004.14-0008.74] 同学们好,欢迎大家来到我的计算机组成园里维克堂。
[0008.74-0014.64] 本节课,我们介绍存主器的性能指标和存储系统的层次结构。
[0014.64-0021.80] 存储器的常用性能指标,包括存储容量和存取速度这两个性能指标。
[0021.80-0024.00] 首先来看存储容量。
[0024.00-0030.01] 存储容量是指存储器可以存储的二净值信息的总量。
[0030.01-0031.81] 我们来举例说明。
[0031.81-0034.30] 不知同学们是否还记得?
[0034.30-0039.50] 这是我们在第一章有关计算机基本工作原理的那些课中。
[0039.50-0046.40] 曾给同学们介绍过的计算机主存主器,也就是内存的组成。
[0046.40-0048.30] 我们再来复习一下。
[0048.30-0052.70] 我们知道存储体由若干个存储单元组成。
[0052.70-0060.80] 而每个存储单元所能存储的二净值比特的数量是相同的,称为存储自常。
[0061.00-0066.10] 存储器数级计存器MDR的位数与存储自常相等。
[0066.10-0076.20] 而存储器地址计存器MAR的位数,决定了存储单元的数量,具体为二的MAR的位数次方个。
[0076.20-0085.16] 因此,只要知道存储自常以及MAR的位数,我们就可以计算出,主存储器的存储容量。
[0085.36-0096.06] 那么,推广到其他类型的存储器,只要我们知道存储自常以及存储单元的数量,也可以计算出该存储器的存储容量。
[0096.06-0099.32] 再来看存取速度这个性能指标。
[0099.32-0114.57] 具体可细分为存取时间,存取周期,存储器带宽,存取时间式值,启动一次存储器操作,到该操作完成所经历的时间。
[0115.00-0119.20] 存取期操作分为读出操作和写入操作。
[0119.20-0124.40] 相应的,存取时间可分为读出时间和写入时间。
[0124.40-0131.85] 读出时间和写入时间可能是不同的,例如闪存,不快写慢。
[0131.85-0140.62] 存取周期式值,联系两次访问存取期的操作之间所需要的最短时间间隔。
[0141.17-0153.43] 对于主存,存取周期除包含存取时间外,还包括存取期状态的稳定恢复时间,因此存取周期略大于存取时间。
[0153.43-0170.18] 我们来举例说明,如读所示,横轴为时间,这段时间是第一次存取时间,这段时间是存取期状态的稳定恢复时间,之后可以进行第二次存取。
[0170.38-0178.30] 那么,存取周期就是指这部分时间,很显然存取周期略大于存取时间。
[0178.30-0189.64] 存取期带宽是指单位时间内存取期总能传输的信息量,因此单位为比特每秒或字节每秒。
[0189.64-0199.96] 存取期带宽是衡量数据传输速率的重要指标,与一次传输的数据位的多少和存取时间的长短有关。
[0200.16-0206.16] 一般而言,数据位宽越大,存取时间越短,则存取期带宽越高。
[0206.16-0216.62] 接下来,我们介绍存取系统层次结构,如读所示,这是一个典型的金字塔型的存取系统层次结构。
[0217.06-0224.86] 从下到上,分别是磁带、光盘、机械硬盘、内存、高速缓存、计存器。
[0224.86-0236.33] 通过上级课的学习,我们知道,计存器和高速缓存位于CPU内部,内存也就是主存主器,简称为主存。
[0236.53-0244.13] 机械硬盘、磁带、光盘等,属于辅助存主器,简称为辅存,也称为外存。
[0244.13-0250.29] 图中给出了不同层级存主器的大致访问延迟和容量级别。
[0250.29-0261.09] 不能看出,越往上层的存主器,越靠近CPU,存取速度越快,单位容量成本越高,被使用的频率也越高。
[0261.35-0265.55] 而从上层到下层,存主容量越来越大。
[0265.55-0277.04] 在这样的存主系统层次结构中,上层存主器可为下层存主器做缓冲,将最经常使用的数据的副本调度到上层。
[0277.04-0288.04] 使得CPU只需要访问上层的快速小容量存主器,这可获得大部分数据,可以有效提高存主系统的访问速度。
[0288.24-0293.70] 缓解CPU与主存,主存与辅存的性能差异。
[0293.70-0299.30] 另外,使用大容量辅存,缓解了主存容量不足的问题。
[0299.30-0310.92] 都上所述,基于这种层次结构,就可以构建出满足应用需求的存储容量大、存取速度快、成本低的存主系统。
[0311.44-0328.24] 需要说明的是,当某一种存主器在存储速度、存储容量价格成本上均被另一种存主器超越时,也就是该存主器被淘汰之日,例如软盘被U盘所取代。
[0328.24-0334.86] 请同学们思考一下,机械硬盘有可能被固态硬盘取代吗?
[0334.86-0341.06] 好的,本节课到这里就结束了。
[0341.26-0346.06] 请同学们快速回忆一下,本节课到主要内容。
[0346.06-0355.80] 同学们,我们下节课见!
