[0003.18-0007.48] 同学们好,欢迎大家来到我的计算机组成员里维克唐。
[0007.48-0014.88] 在之前的两次课中,我们分别介绍了定点数补码加减法的运算公式和异出检测方案。
[0014.88-0022.18] 按照教学大纲,本节课应该给同学们介绍补码加减法运算的逻辑电路实现。
[0022.18-0026.18] 考虑到有部分同学是跨专业学习本课程。
[0026.18-0034.68] 因此,为这部分同学特意安排一节介绍数字电路与逻辑设计相关基本知识的补充课,
[0034.68-0037.68] 也就是逻辑代数和逻辑门。
[0037.68-0044.31] 逻辑代数中的逻辑运算,包括基本逻辑运算和复合逻辑运算两大类。
[0044.31-0051.31] 其中,基本逻辑运算包括语运算、货运算、非运算共三种。
[0051.31-0058.31] 而复合逻辑运算包括语非运算、货非运算、异货运算、同货运算共四种。
[0058.31-0061.94] 实现逻辑运算的电路成为逻辑门。
[0061.94-0069.44] 按照逻辑运算的分类,可将实现逻辑运算的电路分为基本逻辑门和复合逻辑门两大类。
[0069.44-0074.63] 基本逻辑门包括语门、货门、非门共三种。
[0074.63-0081.29] 复合逻辑门包括语非门、货非门、异货门、同货门共四种。
[0081.29-0086.79] 需要说明的是,复合逻辑运算是由基本逻辑运算复合而来的。
[0086.79-0091.79] 那么相应的,复合逻辑门可由基本逻辑门复合而来。
[0091.79-0097.14] 接下来,我们首先介绍基本逻辑运算与基本逻辑门。
[0097.14-0100.53] 首先来看语运算和语门。
[0100.53-0104.25] 如同所示,A和B为开关。
[0104.25-0107.75] 它们分别具有B和和断开两种状态。
[0108.25-0113.38] 我们用1表示开关B和,用0表示开关撞开。
[0113.38-0118.38] F为增炮,它具有点亮和熄灭两种状态。
[0118.38-0123.38] 我们用1表示增炮点亮,用0表示增炮熄灭。
[0123.38-0128.38] 很显然,开关A和B的状态就决定了增炮F的状态。
[0128.38-0135.38] 因此,我们可将开关A和B的状态作为输入,而将增炮F的状态作为输出。
[0136.04-0140.04] 对于该图,A和B都等于0,则F等于0。
[0140.04-0147.20] 也就是,开关A和B都出于撞开状态时,增炮F出于熄灭状态。
[0147.20-0152.20] 再来看这幅图,A等于0,B等于1,则F等于0。
[0152.20-0160.20] 也就是,开关A出于撞开状态,开关B出于B口状态,则增炮F出于熄灭状态。
[0160.70-0166.24] 再来看这幅图,A等于1,B等于0,则F等于0。
[0166.24-0174.24] 也就是,开关A出于B口状态,开关B出于撞开状态,则增炮F出于熄灭状态。
[0174.24-0180.72] 再来看这幅图,A和B都等于1,则F等于1。
[0180.72-0188.14] 也就是,开关A和B都出于B口状态时,则增炮F出于点亮状态。
[0188.64-0192.64] 我们现在来总结一下,作为输入的,开关A和B的状态,
[0192.64-0196.64] 与作为输出的,增炮F的状态之间的关系。
[0196.64-0199.80] 这是从该图得到的关系。
[0199.80-0204.72] 这是从该图得到的关系。
[0204.72-0206.72] 这是从该图得到的关系。
[0206.72-0210.55] 这是从该图得到的关系。
[0210.55-0215.81] 不难发现,表格中的值,要么是1,要么是0。
[0215.81-0221.40] 我们称其为二值逻辑,其中1表示真,0表示假。
[0221.40-0225.50] 因此,这种表格又被称为真值表。
[0225.50-0229.50] 根据该真值表,我们可以写出语运算的逻辑表达式,
[0229.50-0235.69] 即F等于A与B,其中语号可以省略不懈。
[0235.69-0240.69] 从真值表不难看出,对于语运算,只有输入都为真实,
[0240.69-0242.72] 输出才为真。
[0242.72-0247.74] 或者说,只有输入都为一实,输出才为一。
[0247.74-0249.74] 请同学们思考一下,
[0249.74-0256.74] 我们在介绍语运算时,是通过大家初中就学习过的串联电路的知识引入的。
[0256.74-0260.83] 为了让大家不把思路举现在串联电路,
[0260.83-0265.83] 请同学们再举出一个我们日常生活中的语运算的例子。
[0265.83-0271.20] 在同学们掌握了什么是语运算后,
[0271.20-0274.20] 我们介绍语运算的电路实现,
[0274.70-0278.96] 也就是语门,这是语门的常用国际符号,
[0278.96-0280.96] A和B作为输入,
[0280.96-0282.96] F作为输出,
[0282.96-0285.24] 逻辑语的英文为and,
[0285.24-0287.60] 对于等刻成,
[0287.60-0291.60] 我们并不要求同学们掌握语门的内部实现细节。
[0291.60-0297.66] 例如,如何使用二级管、三级管、MOS管来构建语门电路,
[0297.66-0301.66] 甚至是更底层的半导体拼音节的原理。
[0301.66-0303.92] 需要说明的是,
[0303.92-0307.42] 尽管我们在之后进行逻辑电路分析时,
[0307.42-0312.42] 输入和输出都用二级逻辑中的1或0来表示,
[0312.42-0314.42] 但同学们心里应该清楚,
[0314.42-0316.42] 一般情况下,
[0316.42-0319.92] 逻辑1在电路中用高电平来表示,
[0319.92-0323.42] 例如1.5V到4.2V,
