[0003.82-0007.62] 同學們好,歡迎大家來到我的計算機組成員李維克堂
[0007.62-0013.12] 在上期課中,我們給同學們介紹了IO控制方式中的中斷驅動方式
[0013.12-0019.72] 其1點是,IO設備在完成自身操作後,主動向CPU發出中斷請求
[0019.72-0023.02] CPU在等待期間,可以執行其他任務
[0023.02-0028.02] 受到中斷請求後,再處理數據傳送,提高了CPU利用率
[0028.02-0033.72] 由於在上期課中,我們將重點放在了中斷驅動方式的作用和特點上
[0033.72-0036.32] 並為涉及到中斷機制的細節
[0036.32-0040.12] 因此,從本輯課開始,我們要用幾次課的時間
[0040.12-0043.72] 進一步給同學們介紹中斷機制的相關知識
[0043.72-0048.02] 那麼本輯課呢,我們給同學們介紹中斷的作用和分類
[0048.02-0053.92] 相量中斷和非相量中斷,以及單機中斷和多重中斷的相關概念
[0053.92-0056.28] 首先來看中斷的作用
[0056.28-0058.68] 通過前兩次課的學習,我們知道
[0058.68-0066.68] 在計算機系統中,外部設備,例如鍵盤、打印機、磁盤等的工作速度通常遠低CPU
[0066.68-0071.18] 若CPU以持續輪循的方式,檢測外部設備是否就緒
[0071.18-0076.38] 將導致CPU計算資源的大量浪費,系統整體效率低下
[0076.38-0081.58] 若採用中斷機制的方式,則外部設備只在需要CPU處理時
[0081.58-0084.08] 主動向CPU發出中斷請求
[0084.08-0086.78] 而外部設備在準備數據階段
[0086.88-0089.08] CPU可執行其他任務
[0089.08-0093.08] 這樣就實現了CPU與外部設備的並行工作
[0093.08-0095.68] 大幅提升了系統的工作效率
[0095.68-0098.98] 隨著計算機體系結構及操作系統的發展
[0098.98-0101.18] 中斷技術的功能不斷擴展
[0101.18-0104.58] 不僅應用於提升CPU與外部設備的並行工作
[0104.58-0107.38] 還廣泛應用於以下這些場景
[0107.38-0111.88] 其中提升並行性是我們上幾課給同學們介紹的
[0111.88-0114.78] 外部設備主動敲門通知CPU
[0114.88-0117.98] 使得操作系統能在外部設備準備階段
[0117.98-0120.18] 調度CPU執行其他任務
[0120.18-0123.58] 從而實現CPU與外部設備的並行工作
[0123.58-0125.87] 而支持程序調適
[0125.87-0127.77] 是通過設置鑽點
[0127.77-0131.47] 也就是一種特殊中斷暫停程序運行
[0131.47-0134.57] 便於開發者觀察中間結果與狀態
[0134.57-0136.93] 實現故障與異常處理
[0136.93-0141.13] 是指印象故障或軟體異常會出發中斷
[0141.13-0142.43] 通知CPU
[0142.53-0145.83] CPU立即調用相應的處理程序進行處理
[0145.83-0148.03] 進而提高系統的可靠性
[0148.03-0149.86] 保障實施處理
[0149.86-0152.16] 適用於現場測試和控制
[0152.16-0154.26] 人機對話等實施場景
[0154.26-0156.56] 利用中斷的主動敲門特性
[0156.56-0159.36] 確保關鍵數據能被及時處理
[0159.36-0161.18] 方便人機交互
[0161.18-0163.28] 例如鍵盤敲擊
[0163.28-0165.08] 鼠標移動的外部輸入
[0165.08-0167.58] 均通過中斷方式通知系統
[0167.58-0168.48] 另外
[0168.48-0172.58] 中斷技術是多任務操作系統實現的基礎機制之一
[0173.18-0175.78] 操作系統通過周級性的定時中斷
[0175.78-0177.78] 強制收回CPU控制權
[0177.78-0181.18] 實現多個進程的時間片輪轉調度
[0181.18-0182.88] 而不同處理器之間
[0182.88-0184.68] 也可以通過中斷方式
[0184.68-0187.38] 實現信息交互和任務切換
[0187.38-0188.38] 也就是說
[0188.38-0191.92] 中斷支持多處理機系統交互
[0191.92-0194.52] 在同學們了解了中斷的作用號
[0194.52-0196.59] 我們來看中斷的分類
[0196.59-0200.59] 中斷可分為內部異常和外部中斷這兩大類
[0200.59-0202.19] 其中內部異常
[0202.19-0204.59] 通常由CPU執行指令引起
[0204.59-0205.99] 如未定義指令
[0205.99-0207.09] 月權指令
[0207.09-0208.09] 專業故障
[0208.09-0209.49] 存儲保護異常
[0209.49-0210.59] 數據未兌起
[0210.59-0211.69] 處理異常
[0211.69-0212.79] 運算異出
[0212.79-0213.79] 自限調用
[0213.79-0215.29] 程序斷點等
[0215.29-0218.79] 一般具有可預測性或可再現性
[0218.79-0220.29] 例如未定義指令
[0220.29-0221.39] 再次執行時
[0221.39-0223.51] 仍將產生異常
[0223.51-0224.51] 外部中斷
[0224.51-0226.71] 由CPU外部事件引起
[0226.71-0228.81] 大部分由外部設備出發
[0228.81-0230.81] 例如定時器中斷
[0230.81-0232.91] IO信息傳送請求中斷
[0232.91-0235.21] IO信息傳送結束中斷
[0235.21-0238.41] IO接口和外部設備故障中斷等
[0238.41-0240.41] 一般與執行的程序無關
[0240.41-0244.30] 並且不具備可預測性和可重複性
[0244.30-0245.20] 內部異常
[0245.20-0249.69] 可進一步細分為故障、自限、終止這三類
[0249.69-0251.39] 故障這種內部異常
[0251.39-0254.09] 是指執行指令時發生了異常
[0254.09-0255.39] 但進行處理後
[0255.39-0256.89] 異常可以解決
[0256.89-0260.19] 需要重新執行那條導致異常的指令
[0260.19-0264.29] 系統會保存一個指向導致故障的指令本身的斷點
[0264.29-0266.09] 以便返回重視
[0266.09-0267.79] 例如缺業異常
[0267.79-0272.32] 也就是程序訪問的數據不在內存中而產生故障
[0272.32-0276.32] 操作系統將數據從硬盤掉入內存來處理異常
