[0003.41-0008.01] 同学们好,欢迎大家来到我的计算机组成员里微课堂。
[0008.01-0011.21] 在上节课中,我们给同学们介绍了,
[0011.21-0013.71] 主存系统优化的第三种方法,
[0013.71-0015.90] 多体交叉存主器。
[0015.90-0020.90] 多体交叉存主器分为高位多体交叉和低位多体交叉。
[0020.90-0025.34] 我们上节课给同学们介绍的是高位多体交叉,
[0025.34-0027.94] 也就是顺序编织模式。
[0027.94-0032.26] 由于程序具有局部性和连续性的特点,
[0032.46-0035.16] 因此,采用高位多体交叉,
[0035.16-0040.53] 程序的指令和数据基本分布在同一个主存模块中。
[0040.53-0044.03] 这样就会导致在程序执行过程中,
[0044.03-0047.13] 同一个主存模块被频繁访问,
[0047.13-0051.03] 而其他主存模块基本处于空闲状态,
[0051.03-0054.86] 无法实现多个主存模块的并停工作。
[0054.86-0058.96] 而本节课,我们将要介绍的第一位多体交叉,
[0059.06-0064.25] 就是为了提高顺序访问时和存主模块的并停性。
[0064.25-0069.25] 我们仍采用上节课用到的高位多体交叉的那个例子,
[0069.25-0073.21] 给同学们介绍什么是第一位多体交叉。
[0073.21-0075.61] 只要将高位多体交叉中,
[0075.61-0077.91] 主存地址的模块地址部分,
[0077.91-0081.21] 与块的地址部分颠倒一下顺序,
[0081.21-0086.27] 则高位多体交叉就转换成了第一位多体交叉。
[0086.27-0087.57] 换句话说,
[0087.67-0089.67] 我们用主存地址的高位,
[0089.67-0093.77] 给各存储模块内的存储单元进行编织,
[0093.77-0095.77] 而主存地址的低位,
[0095.77-0098.53] 给各存储模块编号。
[0098.53-0101.13] 这样,我们就将主存地址
[0101.13-0106.23] 一次分配给了不同存储模块内相同的存储单元,
[0106.23-0107.93] 如此反复进行,
[0107.93-0114.45] 直到所有存储模块中的各存储单元都分配了相应的主存地址。
[0114.65-0115.85] 不难看出,
[0115.85-0121.15] 主存地址被一次分配给了不同存储模块内的存储单元,
[0121.15-0123.15] 而不是一次分配给了
[0123.15-0127.44] 同一个存储模块中连续的存储单元。
[0127.44-0128.34] 因此,
[0128.34-0132.93] 第一位多体交叉又称为交叉编织模式。
[0132.93-0134.63] 请同学们注意,
[0134.63-0136.73] 为了提高顺序访问时,
[0136.73-0139.33] 各存储模块的并停性,
[0139.33-0140.93] 第一位多体交叉,
[0140.93-0143.73] 也就是交叉编织模式中,
[0143.73-0147.73] 各存储模块均有独立的地址计存器,
[0147.73-0149.03] 数据计存器,
[0149.03-0151.65] 和独卸控制电路。
[0151.65-0152.95] 顺序访问时,
[0152.95-0157.85] 各存储模块一般按流水线的方式轮流存取。
[0157.85-0160.10] 我们来举例说明,
[0160.10-0164.70] 假设要顺序存取以下四个主存地址中的内容,
[0164.70-0168.92] 如同所示,
[0168.92-0172.62] 设各存储模块的存取周期为T,
[0172.62-0174.32] 设其他延迟,
[0174.32-0175.32] 例如,
[0175.32-0177.12] 总线传输周期等,
[0177.12-0179.30] 总和为套,
[0179.30-0182.00] 设存储模块数量为M,
[0182.00-0185.00] M一般为二的整数字密,
[0185.00-0187.45] 本地中M等于四,
[0187.45-0190.05] 要实现流水线方式存取,
[0190.05-0194.47] 因满足条件T等于M乘以套。
[0194.47-0198.43] 我们来画出流水线方式存取的示意图。
[0198.43-0200.72] 横坐标为时间,
[0200.72-0201.82] 这段时间,
[0201.82-0204.52] 用于访问存储器模块M0中,
[0204.52-0206.62] 指定的存储单元,
[0206.62-0209.93] 具体为一个存取周期T,
[0209.93-0212.43] 根据实现流水线方式存取,
[0212.43-0214.53] 所因满足的条件,
[0214.53-0218.33] 以及等于一周存储模块的数量可知,
[0218.33-0223.01] 存储周期T等于四倍的其他延迟套,
[0223.01-0226.31] 从访问存储模块M0的时刻起,
[0226.31-0228.41] 经过套这么长的时间,
[0228.41-0231.61] 就可以开始访问存储模块M1中,
[0231.61-0234.03] 指定的存储单元了。
[0234.03-0236.43] 有的同学可能会有这样的疑问,
[0236.43-0241.23] 为什么访问M0和M1不同时开始呢?
[0241.23-0243.24] 这是因为,
[0243.24-0244.94] 如果同时开始,
[0244.94-0246.94] 则在第四个套时,
[0246.94-0251.74] M0和M1会同时进入总线传输周期,
[0251.74-0255.34] 进而征用数据总线而产生冲突。
[0255.34-0259.14] 因此,访问M1要比访问M0
[0259.14-0261.70] 至后套这么长的时间。
[0261.70-0262.80] 相应的,
[0262.80-0264.30] 访问M1的套座
[0264.30-0266.00] 比访问M0的套座
[0266.00-0269.29] 会至后套这么长的时间结束。
[0269.29-0270.49] 不难看出,
[0270.49-0273.99] M0和M1有三套这么长的时间
[0273.99-0276.31] 处于并行访问。
[0276.31-0277.11] 同理,
[0277.11-0280.21] 从访问存储模块M1的时刻起,
[0280.21-0282.21] 经过套这么长的时间,
[0282.21-0285.11] 就可以开始访问存储模块M2中,
[0285.11-0287.11] 指定的存储单元了。
[0287.11-0288.11] 相应的,
[0288.11-0289.61] 访问M2的套座
[0289.61-0291.51] 比访问M1的套座
[0291.51-0294.80] 会至后套这么长的时间结束。
[0294.90-0296.10] 不难看出,
[0296.10-0298.20] M0、M1和M2
[0298.20-0300.20] 有二套这么长的时间
[0300.20-0302.84] 处于并行访问。
[0302.84-0303.74] 同理,
[0303.74-0306.74] 从访问存储模块M2的时刻起,
[0306.74-0308.74] 经过套这么长的时间,
[0308.74-0312.04] 就可以开始访问存储模块M3中,
[0312.04-0314.14] 指定的存储单元了。
[0314.14-0315.04] 相应的,
[0315.04-0316.74] 访问M3的套座
[0316.74-0318.54] 比访问M2的套座
[0318.54-0322.00] 会至后套这么长的时间结束。
[0322.00-0323.30] 不难看出,
[0323.40-0326.00] M0、M1、M2、M3
[0326.00-0327.60] 有套这么长的时间
[0327.60-0329.88] 处于并行访问。
[0329.88-0330.78] 接下来,
[0330.78-0332.68] 请同学们再看一遍
[0332.68-0334.28] 流水线方式存取的
[0334.28-0335.98] 动画示意图,
[0335.98-0345.09] 如图所示,
[0345.09-0347.39] 我们再用左侧的这幅图
[0347.39-0348.69] 来演示一遍
[0348.69-0351.19] 流水线方式存取的过程。
[0351.19-0353.29] 请同学们注意观察,
[0353.29-0356.09] 四个待顺序访问的存储单元
[0356.09-0357.69] 被访问的时刻,
[0357.69-0358.99] 以及他们各自
[0358.99-0362.09] 向数据总线发送数据的时刻,
[0362.09-0371.94] 如图所示。
[0371.94-0372.84] 接下来,
[0372.84-0374.14] 我们总结一下
[0374.14-0375.74] 第一位多体交叉,
[0375.74-0378.04] 也就是交叉编织模式下
[0378.04-0380.04] 进行顺序访问时
[0380.04-0382.60] 流水线方式存取的特点。
[0382.60-0385.10] 在一次流水线存取过程中,
[0385.10-0386.60] 所有存储模块
[0386.60-0388.50] 都被访问一次,
[0388.50-0389.80] 不能重复访问
[0389.80-0392.13] 某一个存储模块。
[0392.13-0394.23] 一次流水线存取过程,
[0394.23-0398.38] 总号实为T加上M-1倍的套,
[0398.38-0400.78] 连续N次流水线存取过程,
[0400.78-0405.83] 总号实为N倍的T加上M-1倍的套。
[0405.83-0408.53] 请同学们基于上面的示意图,
[0408.53-0410.23] 好好理解一下,
[0410.23-0412.63] 因为我们稍后要挑战的
[0412.63-0415.43] 2-408考研另一年整体,
[0415.43-0418.09] 就会用到上述知识点。
[0418.09-0419.79] 请同学们注意,
[0419.79-0421.49] 可从任意地址,
[0421.49-0423.69] 也就是某个存储模块的
[0423.79-0425.29] 某个存储单元,
[0425.29-0427.19] 开始顺序存取,
[0427.19-0431.38] 如都所示,
[0431.38-0434.28] 而不一定像我们之前举例的那样,
[0434.28-0437.64] 非要从存储模块M-0开始。
[0437.64-0438.64] 接下来,
[0438.64-0440.64] 请同学们趁热打铁,
[0440.64-0443.64] 挑战着到408考研整体。
[0443.64-0446.34] 请同学们暂停播放视频,
[0446.34-0448.04] 动手练习一下,
[0448.04-0455.10] 然后给出你的答案。
[0455.10-0457.50] 本题的答案是选项第。
[0457.50-0459.30] 大家都选对了吗?
[0459.40-0461.87] 我们来一起分析一下,
[0461.87-0462.97] 题目给定,
[0462.97-0465.57] 是用四体交叉编织存储器,
[0465.57-0468.07] 也就是我们本节课介绍的
[0468.07-0470.47] 第一位多体交叉存储器,
[0470.47-0473.20] 其才用交叉编织模式。
[0473.20-0475.10] 因此,可以推出,
[0475.10-0476.40] 这些主存地址,
[0476.40-0479.20] 各自的二净之形式的第一两位,
[0479.20-0482.50] 为存储器中各存储模块的地址。
[0482.50-0483.50] 这是因为,
[0483.50-0486.60] 本题给定的存储器模块数量为四个,
[0486.60-0487.40] 因此,
[0487.40-0489.20] 用两位二净之数,
[0489.20-0492.10] 可有二到二次方等于四个组合,
[0492.10-0494.10] 借零零到一一,
[0494.10-0497.83] 来分别给这四个存储模块编号。
[0497.83-0499.03] 我们写出,
[0499.03-0500.03] 题目给定的,
[0500.03-0502.23] 这些实际制主存地址的,
[0502.23-0504.93] 二净之形式的第一两位即可。
[0504.93-0507.33] 这是同学们学习完第二张号,
[0507.33-0509.73] 就应该熟练掌握的基本功,
[0509.73-0511.75] 就不再赚数了。
[0511.75-0513.55] 我们画出题目所给的,
[0513.55-0516.58] 四体交叉编织存储器。
[0516.58-0518.88] 这是给个存储模块分配的,
[0518.88-0521.96] 主存地址中的模块地址部分,
[0521.96-0523.86] 则地址八千零五,
[0523.86-0526.16] 可以是存储模块M1中,
[0526.16-0528.62] 某个存储单元的地址。
[0528.62-0530.72] 我们在该存储单元旁边,
[0530.72-0533.68] 标记出它的地址八千零五。
[0533.68-0534.48] 这样,
[0534.48-0537.88] 地址八千零五的下一个地址八千零六,
[0537.88-0542.18] 对应的是存储模块M2中的该存储单元。
[0542.18-0543.28] 以此类推,
[0543.28-0546.25] 我们就不再赚数了。
[0546.25-0550.05] 而地址八零零五的上一个地址八零零四,
[0550.05-0554.78] 对应的是存储模块M0中的该存储单元。
[0554.78-0555.78] 以此类推,
[0555.78-0559.68] 我们就不再赚数了。
[0559.68-0560.78] 题目给定,
[0560.78-0566.04] 要依次顺序访问这些地址所对应的存储单元。
[0566.04-0567.04] 我们画出,
[0567.04-0570.80] 本题采用流水线方式存取的示意图。
[0570.80-0573.80] 如读所示,
[0573.80-0574.90] 不难看出,
[0574.90-0577.40] 在同一个存储周期替内,
[0577.40-0580.70] 存储模块M0被重复访问,
[0580.70-0583.60] 具体为M0中地址为八千零四,
[0583.60-0586.70] 和八千的两个存储单元。
[0586.70-0590.03] 因此会发生仿存冲突,
[0590.03-0595.66] 而其他存储模块都是按存取周期替进行周期性访问。
[0595.66-0596.56] 例如,
[0596.56-0601.17] 对存储模块M1的访问,
[0601.17-0605.93] 对存储模块M2的访问,
[0605.93-0607.23] 综上所述,
[0607.23-0610.18] 本题的答案是选项替,
[0610.18-0614.58] 请同学们再来挑战2017年的题13。
[0614.58-0617.18] 请大家暂停播放视频,
[0617.28-0618.98] 动手练习一下,
[0618.98-0621.08] 然后给出你的答案。
[0621.08-0629.00] 你的答案是选项C,
[0629.00-0630.90] 大家都选对了吗?
[0630.90-0633.37] 我们来一起分析一下,
[0633.37-0634.47] 题目给定,
[0634.47-0637.17] 辨量X的类型为Double型,
[0637.17-0638.37] 因此可知,
[0638.37-0640.90] X的长度为八字节。
[0640.90-0643.30] 这是同学们学习完第二张号,
[0643.30-0645.69] 就应该熟记的内容。
[0645.69-0646.79] 题目给定,
[0646.79-0649.29] 主存按字节编织。
[0649.29-0653.05] 这是题目给定的X的主存地址,
[0653.05-0654.95] 因此我们可以写出,
[0654.95-0658.75] 辨量X所占用的八字节主存地址,
[0658.75-0662.43] 意思为以下八个地址。
[0662.43-0663.63] 题目给定,
[0663.63-0665.93] 主存由四个D-RAM的芯片,
[0665.93-0668.66] 采用交叉编织方式构成。
[0668.66-0670.66] 因此可以推出,
[0670.66-0672.26] 上述主存地址,
[0672.26-0674.96] 各次的二净值形式的D两位,
[0674.96-0678.55] 为主存中各存储芯片的地址。
[0678.55-0680.55] 我们写出题目给定的这些,
[0680.55-0682.25] 十六净值主存地址的,
[0682.25-0685.34] 二净值形式的D两位即可。
[0685.34-0687.64] 这是同学们学习完第二张,
[0687.64-0690.34] 就应该熟练掌握的基本功,
[0690.34-0692.53] 就不再赘述了。
[0692.53-0693.63] 我们画出,
[0693.63-0697.46] 题目所给的四体交叉编织存储器。
[0697.46-0699.76] 这是给个存储芯片分配的,
[0699.76-0703.01] 主存地址中的模块地址部分。
[0703.01-0705.71] 则地址804001A,
[0705.71-0708.11] 可以是存储模块M2中,
[0708.11-0710.47] 某个存储单元的地址。
[0710.47-0712.57] 我们在该存储单元旁边,
[0712.57-0716.23] 标记出它的地址804001A,
[0716.23-0718.93] 这样该地址的下一个地址,
[0718.93-0720.83] 804001B,
[0720.83-0725.13] 对应的是存储模块M3中的该存储单元。
[0725.13-0726.23] 以此类推,
[0726.23-0732.01] 我们就不再赘述了。
[0732.01-0733.81] 题目要求我们给出,
[0733.81-0738.30] 读取变量X需要的存取周期的数量。
[0738.30-0739.30] 我们画出,
[0739.30-0743.10] 本题采用流水线方式存取的示意图。
[0743.20-0746.40] 如读所示,
[0746.40-0747.60] 不难看出,
[0747.60-0752.39] 读取X需要的时间约为三个存取周期。
[0752.39-0753.69] 通上所说,
[0753.69-0756.77] 本题的答案是选项C,
[0756.77-0758.27] 需要说明的是,
[0758.27-0760.37] 本题也可看作我们之前
[0760.37-0763.57] 曾给同学们介绍过的未扩展方式,
[0763.57-0766.04] 也称为数据总线扩展。
[0766.04-0767.94] 四个八位的DRAM芯片,
[0767.94-0770.34] 一共提供32位数据,
[0770.34-0772.94] 与存储器总线位宽相同,
[0772.94-0776.84] 可同时启动四个芯片进行病情读写,
[0776.84-0779.37] 同时读写32位数据。
[0779.37-0780.37] 因此,
[0780.37-0786.58] 读取X需要的存储周期数如读所示,
[0786.58-0787.78] 通上所说,
[0787.78-0791.30] 本题的答案是选项C。
[0791.30-0792.20] 最后,
[0792.20-0794.40] 请同学们思考一下,
[0794.40-0798.70] 针对程序具有局部性和连续性的课点,
[0798.70-0800.30] 第一位多体交叉,
[0800.30-0803.00] 也就是交叉编织模式,
[0803.10-0805.00] 比高位多体交叉,
[0805.00-0807.60] 也就是顺序编织模式,
[0807.60-0810.91] 有什么优势呢?
[0810.91-0814.41] 好的,本节课到这里就结束了。
[0814.41-0821.22] 我们将本节课的主要内容小节如下。
[0821.22-0823.62] 同学们,我们下节课见!
