[0004.56-0008.60] 同學們好,歡迎大家來到我的計算機組成員裡維克堂
[0008.60-0014.40] 通過之前幾次課的學習,相信同學們對總線系統的相關知識有了一定的認識
[0014.40-0019.28] 在此基礎上,本節課我們給同學們介紹系統總線的結構
[0019.28-0023.40] 系統總線的結構直接影響計算機系統的整體性能
[0023.40-0030.76] 在之前本章有關總線分類的那節課中,我們曾給同學們簡單介紹過系統總線的相關知識
[0030.96-0039.00] 系統總線按期發展順序,一般可分為單總線結構、雙總線結構、三總線結構以及高性能總線
[0039.00-0045.32] 本節課我們將以個人計算機為例,給同學們介紹這幾種典型的系統總線結構
[0045.32-0047.54] 首先來看單總線結構
[0047.54-0053.33] 在單總線結構的計算機中,只有一條系統總線,也成為全級總線
[0053.49-0061.33] CPU、主存DRAM、顯卡、磁盤等所有功能部件以及IO設備都連接在系統總線上
[0061.33-0067.17] 此外,系統總線上還可擴展出一些擴展槽,方便用戶擴展設備
[0067.17-0069.57] 例如獨立顯卡、升卡等
[0069.57-0078.56] 請同學們注意,IO設備,例如鍵盤、鼠標、打印機等,必須通過總線IO接口與系統總線相連
[0078.80-0085.04] 有關IO接口的相關之事,我們將在第八章輸入輸出系統中給同學們詳細介紹
[0085.04-0092.86] 另外,主存DRAM與BIOS統一編制,而IO設備既可以統一編制,也可以獨立編制
[0092.86-0097.79] CPU通常具有總線控制器的功能,作為總線上的主設備
[0097.79-0102.99] 隨著DMA控制器的出現,CPU不再是總線上唯一的主設備
[0103.15-0110.03] DMA控制器也可以作為主設備,協調IO設備與主存進行DMA傳輸
[0110.03-0117.15] 有關DMA控制器的相關之事,我們也將在第八章輸入輸出系統中給同學們詳細介紹
[0117.15-0123.30] 從該圖所示的單總線結構可以看出,單總線的優點有,結構簡單
[0123.30-0127.86] 所有功能部件通過單總線連接,硬架設計複雜度低
[0128.02-0132.58] 易於擴充設備,新設備可直接掛接到共享總線上
[0132.58-0137.70] 成本較低,總線數量少,不限簡單,製造成本低
[0137.70-0143.22] 靈活性高,功能部件間的通信統一,管理邏輯相對簡單
[0143.22-0151.98] 單總線的缺點有,帶寬平靜,所有設備共享同一總線帶寬,高速設備無法充分發揮其性能
[0152.43-0157.71] 通信衝突,所有設備征用同一總線,導致傳輸延遲增加
[0157.71-0164.61] 系統性能受限,總線負載重食,整體效力下降,尤其在高頻發程境下
[0164.61-0169.26] 可靠性低,總線故障可能導致整個系統癱瘓
[0169.26-0176.02] 擴展性受限,隨著設備增多,總線競爭加劇,競能進一步惡化
[0176.37-0184.29] 從Internet 8088到80386時代的ISA、ESA、MC總線,都是典型的單總線結構
[0184.29-0190.32] 為了突破單總線結構造成的系統性能平靜,多總線結構因應而生
[0190.32-0198.00] 其核心設計思想是採用分層專用的總線,將不同特性的設備互聯,以提升系統性能
[0198.00-0203.28] 這樣很自然的就出現了雙總線結構,例如下途損失
[0203.44-0208.96] 為了提升CPU與主存之間的訪問性能,降低系統總線的負載
[0208.96-0215.36] 額外增加一條CPU與內存控制器之間的高速總線,也稱為主存總線
[0215.36-0221.84] 這樣,CPU通過主存總線訪問主存,通過系統總線訪問外部設備
[0221.84-0228.03] CPU與主存之間,外部設備與主存之間的數據傳送可並行進行
[0228.37-0233.57] 綜上所述,在雙總線結構中,系統總線不再是唯一的總線
[0233.57-0238.85] 相應的不再稱其為全局總線,而改成為局部總線
[0238.85-0245.55] 需要說明的是,CPU與板仔外部開始控制器通過後端總線BSB相連
[0245.55-0249.63] 由開始控制器連結主存總線和系統總線
[0249.63-0252.51] 這部分內容途中並未畫出
[0252.67-0258.03] 這裡引出後端總線BSB的概念,是為了稍後介紹高性能總線時
[0258.03-0260.83] 引出前端總線FSB的概念
[0260.83-0264.96] 再來看這幅圖,這是另一種雙總線結構
[0264.96-0269.84] 將慢速設備從系統總線上分離到單獨的IO總線上
[0269.84-0275.04] 而CPU,主存以及高速設備仍連接在系統總線上
[0275.04-0279.36] 系統總線與IO總線之間通過橋接器相連
[0279.52-0285.28] 橋接器既是IO總線仲裁器,又是兩種不同總線之間的轉發器
[0285.28-0290.32] 在英特爾80486時代,IO總線廣泛採用iSA總線標準
[0290.32-0293.60] 而系統總線廣泛採用VISA總線標準
[0293.60-0295.76] 橋接器稱為iSA橋
[0295.76-0300.16] 由於VISA總線僅支持最多三個高速設備插槽
[0300.16-0303.68] 且工作頻率直接依賴於CPU的工作頻率
[0303.68-0307.52] 當CPU更新換代,工作頻率快速提升時
[0307.68-0310.48] 導致外圍設備無法穩定工作
[0310.48-0313.28] 系統兼容性和可升級性差
[0313.28-0319.68] 因此,VISA總線很快就被與CPU工作頻率節有的PCI總線所淘汰
[0319.68-0323.74] 我們剛剛介紹的上述兩種雙總線結構
[0323.74-0327.02] 一種是將CPU與主存之間的高速訪問
[0327.02-0329.34] 從系統總線中分離出來
[0329.34-0332.46] 另一種是將慢速外設的通信通道
[0332.46-0334.70] 從系統總線中分離出來
[0334.70-0337.58] 二者的思想實際上是一致的
[0337.74-0343.18] 那就是將總線中的慢速數據傳輸與高速數據傳輸進行分離
[0343.18-0346.54] 減少速率差異對整體性能的影響
[0346.54-0348.91] 在PCI總線出現後
[0348.91-0352.91] 個人計算機的系統總線發展成為三總線結構
[0352.91-0355.07] 相較於雙總線結構
[0355.07-0359.79] 三總線結構將不同傳輸速率的數據傳輸進一步細分
[0359.79-0364.35] 其中,CPU主存DRAM連接在HOS的總線上
[0364.51-0368.78] HOS的總線也稱為系統總線、CPU總線
[0368.78-0373.82] 顯卡、磁盤、玩卡等高速設備連接在PCI總線上
[0373.82-0378.58] 串口、並口、PS2鍵盤和鼠標等傳統慢速設備
[0378.58-0380.90] 連接在ISA總線上
[0380.90-0382.90] 從圖中還可以看出
[0382.90-0386.98] HOS的總線與PCI總線通過PCI橋相連
[0386.98-0391.62] PCI總線與ISA總線通過PCI ISA橋相連
[0391.89-0395.09] 另外,為了提高PCI總線的負載能力
[0395.09-0397.09] 支持更多的PCI設備
[0397.09-0400.93] 可以使用PCI-PCI橋來擴展PCI總線
[0400.93-0404.88] 隨著計算機技術與CPU性能的廢速進步
[0404.88-0408.32] 以及高速網絡、視頻圖形等設備的湧現
[0408.32-0411.44] 傳統的PCI總線也難以滿足需求
[0411.44-0416.24] 從而催生了AGP圖形加速總線、PCIe等新一代總線
[0416.24-0420.88] 相應的,總線結構自身也向著高性能不斷演化
[0421.04-0424.08] 其發展趨勢可總結為以下極點
[0424.08-0426.59] 採用分層的多總線結構
[0426.59-0431.47] 各層次總線之間通過橋接技術進行連接和緩衝
[0431.54-0434.50] 將處理器與IO設備之間的活動
[0434.50-0438.10] 與IO設備與主存之間的數據傳輸分離開來
[0438.10-0439.30] 提升效率
[0439.30-0443.33] 在布局上,讓高速設備更靠近CPU
[0443.33-0445.73] 而慢速設備則相對遠離
[0445.73-0447.90] 橋接芯片高度集成
[0447.90-0450.86] 最終形成了經典的南北橋架構
[0451.22-0452.66] 例如下渡所示的
[0452.66-0454.74] 2003到2004年
[0454.74-0457.54] 採用主流芯片組英克爾875P的
[0457.54-0460.50] 面向高性能桌面平台的總線架構
[0460.50-0464.26] 與當時頂級的奔騰式處理器搭配使用
[0464.26-0467.17] 途中的這部分就是芯片組
[0467.17-0469.73] 包括北橋芯片MCH
[0469.73-0472.51] 和南橋芯片ICH
[0472.51-0478.42] 其中北橋芯片用於連接高速的CPU、AGP顯卡、內存
[0478.58-0481.78] 而南橋芯片用於中速設備的互聯
[0481.78-0486.53] 北橋芯片通過前端總線FSB與CPU連接
[0486.53-0487.60] 本節課
[0487.60-0489.84] 我們在介紹雙總線結構時
[0489.84-0493.36] 曾給同學們簡單介紹過後端總線BSB
[0493.36-0495.52] 而前端總線FSB
[0495.52-0498.32] 是相對於後端總線BSB而言的
[0498.32-0502.18] 後來由於二級開始集成到了CPU內部
[0502.18-0505.70] 因此後端總線BSB就消失了
[0505.70-0508.54] 北橋芯片與南橋芯片之間
[0508.70-0510.86] 通過HI總線連接
[0510.86-0515.18] 而PCI總線的功能已演變成了擴展IOW總線
[0515.18-0517.18] 用於擴展外部設備
[0517.18-0519.02] 我們之前剛剛介紹過
[0519.02-0520.86] 在三總線結構的時代
[0520.86-0524.38] PCI總線用於連接顯卡等高速設備
[0524.38-0526.62] 隨著顯卡性能的飛速提升
[0526.62-0528.38] 在高性能總線時代
[0528.38-0531.82] PCI總線的貸寬133兆字節每秒
[0531.82-0534.54] 以無法滿足高速顯卡的需求
[0534.54-0536.86] 其而帶支的是AGP總線
